NAICS2017 Label,Number Employed,Name,GEO ID,Population,Broadband (%),Year,Percent Employed
Administrative and support and waste management and remediation services,5130.0,"Washington County, Tennessee",0500000US47179,126437.0,85.89780900000002,2017,4.057356628202188
Administrative and support and waste management and remediation services,660.0,"Weakley County, Tennessee",0500000US47183,33776.0,62.890625,2017,1.9540502131691142
Administrative and support and waste management and remediation services,130.0,"Benton County, Tennessee",0500000US47005,16154.0,56.153846,2017,0.8047542404358053
Administrative and support and waste management and remediation services,0.0,"Bledsoe County, Tennessee",0500000US47007,14413.0,40.384617,2017,0.0
Administrative and support and waste management and remediation services,162.0,"Campbell County, Tennessee",0500000US47013,39824.0,55.232561,2017,0.40678987545198875
Administrative and support and waste management and remediation services,0.0,"Cannon County, Tennessee",0500000US47015,13839.0,58.196718,2017,0.0
Administrative and support and waste management and remediation services,3332.0,"Maury County, Tennessee",0500000US47119,87606.0,84.05118,2017,3.8033924617035364
Administrative and support and waste management and remediation services,453.0,"Polk County, Texas",0500000US48373,46974.0,42.857143,2017,0.9643632647847745
Administrative and support and waste management and remediation services,1162.0,"Van Zandt County, Texas",0500000US48467,53607.0,52.06812600000001,2017,2.1676273620982336
Administrative and support and waste management and remediation services,284.0,"Caldwell County, Texas",0500000US48055,40544.0,55.51331,2017,0.7004735595895817
Administrative and support and waste management and remediation services,48.0,"Wilbarger County, Texas",0500000US48487,12972.0,57.731962,2017,0.3700277520814061
Administrative and support and waste management and remediation services,53.0,"Reagan County, Texas",0500000US48383,3735.0,83.333337,2017,1.4190093708165998
Administrative and support and waste management and remediation services,28.0,"Yoakum County, Texas",0500000US48501,8481.0,61.016946999999995,2017,0.33014974649215895
Administrative and support and waste management and remediation services,69.0,"Hale County, Texas",0500000US48189,34527.0,54.07725,2017,0.19984360066035275
Administrative and support and waste management and remediation services,121.0,"Shelby County, Texas",0500000US48419,25689.0,54.33526,2017,0.47101872396745686
Administrative and support and waste management and remediation services,0.0,"Red River County, Texas",0500000US48387,12353.0,50.0,2017,0.0
Administrative and support and waste management and remediation services,96.0,"Runnels County, Texas",0500000US48399,10266.0,52.808988,2017,0.9351256575102279
