NAICS2017 Label,Number Employed,Name,GEO ID,Population,Broadband (%),Year,Percent Employed
"Arts, entertainment, and recreation",25.0,"Warren County, Tennessee",0500000US47177,40210.0,0.56739813,2017,0.0006217358865953743
"Arts, entertainment, and recreation",332.0,"Washington County, Tennessee",0500000US47179,126437.0,0.85897809,2017,0.0026258136463218834
"Arts, entertainment, and recreation",9.0,"Weakley County, Tennessee",0500000US47183,33776.0,0.62890625,2017,0.0002664613927048792
"Arts, entertainment, and recreation",89.0,"Campbell County, Tennessee",0500000US47013,39824.0,0.55232561,2017,0.002234833266372037
"Arts, entertainment, and recreation",194.0,"Maury County, Tennessee",0500000US47119,87606.0,0.8405118,2017,0.002214460196790174
"Arts, entertainment, and recreation",0.0,"Polk County, Texas",0500000US48373,46974.0,0.42857143,2017,0.0
"Arts, entertainment, and recreation",109.0,"Van Zandt County, Texas",0500000US48467,53607.0,0.52068126,2017,0.002033316544481131
"Arts, entertainment, and recreation",0.0,"Caldwell County, Texas",0500000US48055,40544.0,0.5551331,2017,0.0
"Arts, entertainment, and recreation",0.0,"Wilbarger County, Texas",0500000US48487,12972.0,0.57731962,2017,0.0
"Arts, entertainment, and recreation",0.0,"Hale County, Texas",0500000US48189,34527.0,0.5407725,2017,0.0
"Arts, entertainment, and recreation",0.0,"Shelby County, Texas",0500000US48419,25689.0,0.5433526,2017,0.0
"Arts, entertainment, and recreation",2.0,"Red River County, Texas",0500000US48387,12353.0,0.5,2017,0.0001619039909333765
"Arts, entertainment, and recreation",6.0,"Runnels County, Texas",0500000US48399,10266.0,0.52808988,2017,0.0005844535359438924
"Arts, entertainment, and recreation",31.0,"Sutton County, Texas",0500000US48435,3894.0,0.51851851,2017,0.007960965588084233
"Arts, entertainment, and recreation",0.0,"Tom Green County, Texas",0500000US48451,116906.0,0.79306602,2017,0.0
"Arts, entertainment, and recreation",0.0,"Upshur County, Texas",0500000US48459,40506.0,0.5398229999999999,2017,0.0
"Arts, entertainment, and recreation",385.0,"Victoria County, Texas",0500000US48469,91518.0,0.70028651,2017,0.004206822701545051
"Arts, entertainment, and recreation",40.0,"Waller County, Texas",0500000US48473,48443.0,0.41806018,2017,0.0008257126932683773
"Arts, entertainment, and recreation",78.0,"Wharton County, Texas",0500000US48481,41430.0,0.49333331,2017,0.001882693700217234
"Arts, entertainment, and recreation",0.0,"Wichita County, Texas",0500000US48485,131778.0,0.82794988,2017,0.0
"Arts, entertainment, and recreation",64.0,"Wilson County, Texas",0500000US48493,47205.0,0.5916667,2017,0.0013557885817180382
"Arts, entertainment, and recreation",0.0,"Hockley County, Texas",0500000US48219,23273.0,0.60000002,2017,0.0
"Arts, entertainment, and recreation",0.0,"Maverick County, Texas",0500000US48323,57471.0,0.5,2017,0.0
"Arts, entertainment, and recreation",1086.0,"Midland County, Texas",0500000US48329,159883.0,0.8802532,2017,0.006792466991487525
"Arts, entertainment, and recreation",418.0,"Grayson County, Texas",0500000US48181,126146.0,0.82338816,2017,0.003313620725191445
"Arts, entertainment, and recreation",0.0,"Live Oak County, Texas",0500000US48297,12043.0,0.52499998,2017,0.0
"Arts, entertainment, and recreation",41.0,"Llano County, Texas",0500000US48299,20195.0,0.39263806,2017,0.0020302054964100023
