NAICS2017 Label,Number Employed,Name,GEO ID,Population,Broadband (%),Year,Percent Employed
Educational services,25.0,"Warren County, Tennessee",0500000US47177,40210.0,0.56739813,2017,0.0006217358865953743
Educational services,0.0,"Washington County, Tennessee",0500000US47179,126437.0,0.85897809,2017,0.0
Educational services,0.0,"Weakley County, Tennessee",0500000US47183,33776.0,0.62890625,2017,0.0
Educational services,0.0,"Maury County, Tennessee",0500000US47119,87606.0,0.8405118,2017,0.0
Educational services,46.0,"Van Zandt County, Texas",0500000US48467,53607.0,0.52068126,2017,0.0008580968903314865
Educational services,29.0,"Caldwell County, Texas",0500000US48055,40544.0,0.5551331,2017,0.0007152722967640095
Educational services,69.0,"Tom Green County, Texas",0500000US48451,116906.0,0.79306602,2017,0.0005902177818076062
Educational services,0.0,"Victoria County, Texas",0500000US48469,91518.0,0.70028651,2017,0.0
Educational services,28.0,"Waller County, Texas",0500000US48473,48443.0,0.41806018,2017,0.0005779988852878641
Educational services,38.0,"Wharton County, Texas",0500000US48481,41430.0,0.49333331,2017,0.0009172097513878832
Educational services,108.0,"Wichita County, Texas",0500000US48485,131778.0,0.82794988,2017,0.0008195601693757683
Educational services,8.0,"Wilson County, Texas",0500000US48493,47205.0,0.5916667,2017,0.00016947357271475478
Educational services,0.0,"Midland County, Texas",0500000US48329,159883.0,0.8802532,2017,0.0
Educational services,169.0,"Grayson County, Texas",0500000US48181,126146.0,0.82338816,2017,0.0013397174702329047
Educational services,0.0,"Llano County, Texas",0500000US48299,20195.0,0.39263806,2017,0.0
Educational services,357.0,"Brazos County, Texas",0500000US48041,214231.0,0.84552741,2017,0.0016664254939761285
Educational services,0.0,"Cass County, Texas",0500000US48067,30118.0,0.52173913,2017,0.0
Educational services,145.0,"Gregg County, Texas",0500000US48183,123402.0,0.8310678,2017,0.0011750214745303966
Educational services,563.0,"Lubbock County, Texas",0500000US48303,298042.0,0.81206912,2017,0.0018889955106998343
Educational services,65.0,"Kaufman County, Texas",0500000US48257,114852.0,0.85402864,2017,0.0005659457388639292
Educational services,92.0,"Kendall County, Texas",0500000US48259,40306.0,0.51986754,2017,0.0022825385798640402
Educational services,5134.0,"Bexar County, Texas",0500000US48029,1892004.0,0.83832586,2017,0.0027135249185519694
Educational services,15.0,"Chambers County, Texas",0500000US48071,39283.0,0.56928843,2017,0.00038184456380622664
Educational services,0.0,"Bell County, Texas",0500000US48027,336506.0,0.8491298,2017,0.0
Educational services,410.0,"Cameron County, Texas",0500000US48061,420201.0,0.56633025,2017,0.0009757235227902837
Educational services,1740.0,"Denton County, Texas",0500000US48121,781321.0,0.92069846,2017,0.0022269976104571615
Educational services,437.0,"Galveston County, Texas",0500000US48167,321184.0,0.85713136,2017,0.0013605908139882434
Educational services,942.0,"El Paso County, Texas",0500000US48141,834825.0,0.83890855,2017,0.001128380199442997
Educational services,69.0,"Bowie County, Texas",0500000US48037,93635.0,0.73764056,2017,0.0007369039354942062
Educational services,611.0,"Hidalgo County, Texas",0500000US48215,839539.0,0.69939774,2017,0.0007277803651766029
Educational services,226.0,"Smith County, Texas",0500000US48423,222277.0,0.7832492,2017,0.0010167493712799796
Educational services,0.0,"Hardin County, Texas",0500000US48199,55993.0,0.54034227,2017,0.0
Educational services,222.0,"Lee County, Alabama",0500000US01081,156597.0,0.82992643,2017,0.0014176516791509417
Educational services,13.0,"Marion County, Alabama",0500000US01093,30058.0,0.55303031,2017,0.0004324971721338745
Educational services,955.0,"Jefferson County, Alabama",0500000US01073,659460.0,0.82967234,2017,0.0014481545506929913
Educational services,0.0,"Russell County, Alabama",0500000US01113,58480.0,0.53699785,2017,0.0
Educational services,0.0,"Lauderdale County, Alabama",0500000US01077,92590.0,0.77238691,2017,0.0
Educational services,0.0,"Limestone County, Alabama",0500000US01083,91695.0,0.77396989,2017,0.0
Educational services,0.0,"Shelby County, Alabama",0500000US01117,208721.0,0.91201138,2017,0.0
Educational services,14.0,"St. Clair County, Alabama",0500000US01115,86937.0,0.77703458,2017,0.00016103615261626235
Educational services,170.0,"Baldwin County, Alabama",0500000US01003,203360.0,0.82068217,2017,0.0008359559402045634
Educational services,0.0,"Cullman County, Alabama",0500000US01043,81703.0,0.78934407,2017,0.0
Educational services,151.0,"Houston County, Alabama",0500000US01069,104108.0,0.75857788,2017,0.0014504168747838783
Educational services,10.0,"Talladega County, Alabama",0500000US01121,80888.0,0.82093501,2017,0.000123627732172881
Educational services,219.0,"Tuscaloosa County, Alabama",0500000US01125,204424.0,0.80076486,2017,0.0010713027824521583
Educational services,0.0,"Coffee County, Alabama",0500000US01031,51073.0,0.59725398,2017,0.0
Educational services,0.0,"Morgan County, Alabama",0500000US01103,119157.0,0.76088643,2017,0.0
Educational services,16.0,"Pike County, Alabama",0500000US01109,33287.0,0.50367647,2017,0.00048066812869889146
Educational services,0.0,"Colbert County, Alabama",0500000US01033,54435.0,0.56603777,2017,0.0
Educational services,66.0,"Sherburne County, Minnesota",0500000US27141,92024.0,0.90823805,2017,0.0007172042075980179
Educational services,0.0,"Benton County, Minnesota",0500000US27009,39360.0,0.5866667,2017,0.0
Educational services,413.0,"Carver County, Minnesota",0500000US27019,98799.0,0.95135617,2017,0.004180204253079484
Educational services,5.0,"Freeborn County, Minnesota",0500000US27047,30619.0,0.63983053,2017,0.00016329729906267352
Educational services,134.0,"Itasca County, Minnesota",0500000US27061,45237.0,0.59142858,2017,0.0029621769790215973
Educational services,0.0,"McLeod County, Minnesota",0500000US27085,35816.0,0.62283736,2017,0.0
Educational services,1820.0,"Ramsey County, Minnesota",0500000US27123,537893.0,0.89391464,2017,0.0033835725692656347
Educational services,0.0,"Winona County, Minnesota",0500000US27169,50992.0,0.5335052,2017,0.0
Educational services,228.0,"Scott County, Minnesota",0500000US27139,141463.0,0.94295663,2017,0.0016117288619639058
Educational services,0.0,"Crow Wing County, Minnesota",0500000US27035,63505.0,0.57142854,2017,0.0
Educational services,130.0,"Wright County, Minnesota",0500000US27171,131130.0,0.90250242,2017,0.0009913825974224052
Educational services,37.0,"Nicollet County, Minnesota",0500000US27103,33477.0,0.5945946,2017,0.0011052364309824655
Educational services,23.0,"Douglas County, Minnesota",0500000US27041,36891.0,0.58100557,2017,0.00062345829606137
Educational services,53.0,"Le Sueur County, Minnesota",0500000US27079,27810.0,0.58898306,2017,0.001905789284430061
Educational services,29.0,"Chisago County, Minnesota",0500000US27025,54297.0,0.59673661,2017,0.0005340994898429011
Educational services,44.0,"Beltrami County, Minnesota",0500000US27007,45847.0,0.55555558,2017,0.0009597138307850023
Educational services,124.0,"Blue Earth County, Minnesota",0500000US27013,65767.0,0.87123245,2017,0.0018854440676935242
Educational services,0.0,"Otter Tail County, Minnesota",0500000US27111,57790.0,0.55447471,2017,0.0
Educational services,0.0,"Waseca County, Minnesota",0500000US27161,18898.0,0.56,2017,0.0
Educational services,183.0,"St. Louis County, Minnesota",0500000US27137,200294.0,0.83420092,2017,0.0009136569243212478
Educational services,617.0,"Anoka County, Minnesota",0500000US27003,344861.0,0.91736376,2017,0.0017891266336292012
Educational services,0.0,"Stearns County, Minnesota",0500000US27145,155300.0,0.88132584,2017,0.0
Educational services,2310.0,"Dakota County, Minnesota",0500000US27037,414655.0,0.92972511,2017,0.005570896287274964
Educational services,16.0,"Lyon County, Minnesota",0500000US27083,25789.0,0.59803921,2017,0.0006204195587265889
Educational services,8.0,"Mille Lacs County, Minnesota",0500000US27095,25635.0,0.57591623,2017,0.00031207333723425
Educational services,744.0,"Washington County, Minnesota",0500000US27163,250979.0,0.94207436,2017,0.002964391443108786
Educational services,0.0,"Carlton County, Minnesota",0500000US27017,35408.0,0.57482994,2017,0.0
Educational services,0.0,"Cook County, Minnesota",0500000US27031,5270.0,0.65306121,2017,0.0
Educational services,26.0,"Hunt County, Texas",0500000US48231,90322.0,0.85083634,2017,0.00028785899337924317
Educational services,126.0,"Guadalupe County, Texas",0500000US48187,150889.0,0.89152551,2017,0.0008350509314794319
