NAICS2017 Label,Number Employed,Name,GEO ID,Population,Broadband (%),Year,Percent Employed
Finance and insurance,331.0,"Warren County, Tennessee",0500000US47177,40210.0,0.56739813,2017,0.008231783138522755
Finance and insurance,2931.0,"Washington County, Tennessee",0500000US47179,126437.0,0.85897809,2017,0.023181505413763376
Finance and insurance,326.0,"Weakley County, Tennessee",0500000US47183,33776.0,0.62890625,2017,0.009651823780198958
Finance and insurance,0.0,"Bledsoe County, Tennessee",0500000US47007,14413.0,0.40384617,2017,0.0
Finance and insurance,259.0,"Campbell County, Tennessee",0500000US47013,39824.0,0.55232561,2017,0.006503615910004017
Finance and insurance,0.0,"Cannon County, Tennessee",0500000US47015,13839.0,0.58196718,2017,0.0
Finance and insurance,0.0,"Houston County, Tennessee",0500000US47083,8188.0,0.41095889,2017,0.0
Finance and insurance,1758.0,"Maury County, Tennessee",0500000US47119,87606.0,0.8405118,2017,0.02006711869050065
Finance and insurance,343.0,"Polk County, Texas",0500000US48373,46974.0,0.42857143,2017,0.007301911695831736
Finance and insurance,0.0,"Refugio County, Texas",0500000US48391,7293.0,0.56140351,2017,0.0
Finance and insurance,230.0,"Van Zandt County, Texas",0500000US48467,53607.0,0.52068126,2017,0.004290484451657433
Finance and insurance,191.0,"Caldwell County, Texas",0500000US48055,40544.0,0.5551331,2017,0.004710931333859511
Finance and insurance,148.0,"Wilbarger County, Texas",0500000US48487,12972.0,0.57731962,2017,0.011409189022510022
Finance and insurance,0.0,"Martin County, Texas",0500000US48317,5547.0,0.65384614,2017,0.0
Finance and insurance,14.0,"Reagan County, Texas",0500000US48383,3735.0,0.83333337,2017,0.003748326639892905
Finance and insurance,59.0,"Yoakum County, Texas",0500000US48501,8481.0,0.61016947,2017,0.006956726801084777
Finance and insurance,240.0,"Hale County, Texas",0500000US48189,34527.0,0.5407725,2017,0.006951081762099227
Finance and insurance,523.0,"Shelby County, Texas",0500000US48419,25689.0,0.5433526,2017,0.020358908482229748
Finance and insurance,69.0,"Red River County, Texas",0500000US48387,12353.0,0.5,2017,0.00558568768720149
Finance and insurance,111.0,"Runnels County, Texas",0500000US48399,10266.0,0.52808988,2017,0.01081239041496201
Finance and insurance,43.0,"San Jacinto County, Texas",0500000US48407,27436.0,0.4057143,2017,0.0015672838606210818
Finance and insurance,29.0,"Sutton County, Texas",0500000US48435,3894.0,0.51851851,2017,0.007447354904982024
Finance and insurance,1674.0,"Tom Green County, Texas",0500000US48451,116906.0,0.79306602,2017,0.01431919661950627
Finance and insurance,244.0,"Upshur County, Texas",0500000US48459,40506.0,0.5398229999999999,2017,0.006023798943366415
Finance and insurance,0.0,"Victoria County, Texas",0500000US48469,91518.0,0.70028651,2017,0.0
