NAICS2017 Label,Number Employed,Name,GEO ID,Population,Broadband (%),Year,Percent Employed
Health care and social assistance,0.0,"New Kent County, Virginia",0500000US51127,20523.0,62.130177,2017,0.0
Health care and social assistance,3940.0,"Augusta County, Virginia",0500000US51015,74390.0,80.31076800000001,2017,5.296410807904288
Health care and social assistance,95.0,"Cumberland County, Virginia",0500000US51049,9797.0,47.191009,2017,0.969684597325712
Health care and social assistance,390.0,"Dickenson County, Virginia",0500000US51051,15181.0,54.26356799999999,2017,2.569000724589948
Health care and social assistance,492.0,"Goochland County, Virginia",0500000US51075,22148.0,53.811663,2017,2.2214195412678346
Health care and social assistance,1675.0,"Halifax County, Virginia",0500000US51083,35030.0,55.081964000000006,2017,4.781615757921782
Health care and social assistance,14238.0,"Loudoun County, Virginia",0500000US51107,374558.0,96.085548,2017,3.8012804425482836
Health care and social assistance,324.0,"Madison County, Virginia",0500000US51113,13108.0,37.391304999999996,2017,2.471772963075984
Health care and social assistance,11124.0,"Prince William County, Virginia",0500000US51153,450763.0,95.490217,2017,2.467815681411296
Health care and social assistance,4628.0,"Roanoke County, Virginia",0500000US51161,93419.0,88.68436200000002,2017,4.9540243419432874
Health care and social assistance,0.0,"Southampton County, Virginia",0500000US51175,18089.0,56.050956000000006,2017,0.0
Health care and social assistance,0.0,"Highland County, Virginia",0500000US51091,2213.0,41.379312,2017,0.0
Health care and social assistance,175.0,"Brunswick County, Virginia",0500000US51025,16435.0,46.153846,2017,1.064800730149072
Health care and social assistance,333.0,"Caroline County, Virginia",0500000US51033,29889.0,53.125,2017,1.1141222523336345
Health care and social assistance,1363.0,"Gloucester County, Virginia",0500000US51073,37035.0,53.890491000000004,2017,3.680302416632915
Health care and social assistance,755.0,"Northampton County, Virginia",0500000US51131,11998.0,49.107143,2017,6.292715452575429
Health care and social assistance,559.0,"Patrick County, Virginia",0500000US51141,17958.0,52.795035,2017,3.112818799420871
Health care and social assistance,261.0,"Powhatan County, Virginia",0500000US51145,28364.0,69.264066,2017,0.9201805105062756
Health care and social assistance,409.0,"Rockbridge County, Virginia",0500000US51163,22440.0,50.471699,2017,1.822638146167558
Health care and social assistance,1471.0,"Shenandoah County, Virginia",0500000US51171,42854.0,51.246536,2017,3.4325850562374574
Health care and social assistance,2586.0,"Fauquier County, Virginia",0500000US51061,68406.0,88.825792,2017,3.780370142969915
Health care and social assistance,1032.0,"Norton city, Virginia",0500000US51720,4043.0,54.16666899999999,2017,25.525599802127132
Health care and social assistance,2486.0,"Staunton city, Virginia",0500000US51790,24273.0,50.253808,2017,10.241832488773534
Health care and social assistance,5790.0,"Nevada County, California",0500000US06057,98838.0,88.102132,2017,5.858070782492564
Health care and social assistance,16822.0,"Tulare County, California",0500000US06107,458809.0,81.856352,2017,3.666449437565523
Health care and social assistance,7576.0,"Yolo County, California",0500000US06113,212605.0,89.769852,2017,3.5634157239952025
Health care and social assistance,7355.0,"Humboldt County, California",0500000US06023,135490.0,85.54875899999998,2017,5.428444903682928
Health care and social assistance,0.0,"Alpine County, California",0500000US06003,1203.0,53.846151,2017,0.0
Health care and social assistance,6171.0,"Madera County, California",0500000US06039,154440.0,77.986687,2017,3.9957264957264957
Health care and social assistance,4475.0,"Mendocino County, California",0500000US06045,87497.0,81.33980600000002,2017,5.114461067236591
Health care and social assistance,15312.0,"Santa Cruz County, California",0500000US06087,273263.0,89.668894,2017,5.6033930682163335
Health care and social assistance,303.0,"Trinity County, California",0500000US06105,13037.0,41.447368,2017,2.324154329983892
Health care and social assistance,568696.0,"Los Angeles County, California",0500000US06037,10105722.0,85.591775,2017,5.627465311236545
Health care and social assistance,82483.0,"Riverside County, California",0500000US06065,2355002.0,88.84331,2017,3.502459870522403
Health care and social assistance,96414.0,"San Bernardino County, California",0500000US06071,2121220.0,86.10555500000001,2017,4.545214546345971
Health care and social assistance,115234.0,"Santa Clara County, California",0500000US06085,1911226.0,92.93201,2017,6.029323586012329
Health care and social assistance,16799.0,"Marin County, California",0500000US06041,260814.0,93.68543000000001,2017,6.440988597237879
Health care and social assistance,23006.0,"Placer County, California",0500000US06061,374985.0,92.955035,2017,6.135178740482953
Health care and social assistance,1834.0,"Siskiyou County, California",0500000US06093,43530.0,53.618419,2017,4.213186308293131
Health care and social assistance,11319.0,"Shasta County, California",0500000US06089,178919.0,83.125031,2017,6.326326438220647
Health care and social assistance,22704.0,"Solano County, California",0500000US06095,434981.0,92.808753,2017,5.219538324662457
Health care and social assistance,1264.0,"Del Norte County, California",0500000US06015,27442.0,51.125401,2017,4.606078274178267
Health care and social assistance,245.0,"Colusa County, California",0500000US06011,21479.0,50.33557400000001,2017,1.1406490060058663
Health care and social assistance,492.0,"Glenn County, California",0500000US06021,27935.0,52.014655,2017,1.7612314301056022
Health care and social assistance,15210.0,"Butte County, California",0500000US06007,225207.0,85.720003,2017,6.753786516404907
Health care and social assistance,4803.0,"Kings County, California",0500000US06031,150183.0,81.01983100000001,2017,3.1980983200495396
Health care and social assistance,858.0,"Plumas County, California",0500000US06063,18724.0,52.758621999999995,2017,4.582354197820979
Health care and social assistance,15066.0,"San Luis Obispo County, California",0500000US06079,280119.0,89.28686400000001,2017,5.378428453621496
Health care and social assistance,47713.0,"Fresno County, California",0500000US06019,971616.0,83.16324399999999,2017,4.910684879623226
Health care and social assistance,30531.0,"Kern County, California",0500000US06029,878744.0,82.55627199999998,2017,3.4743907213022225
Health care and social assistance,176838.0,"Orange County, California",0500000US06059,3155816.0,92.418826,2017,5.603558635864702
Health care and social assistance,39199.0,"Ventura County, California",0500000US06111,847834.0,88.218498,2017,4.623428642871128
Health care and social assistance,1061.0,"Calaveras County, California",0500000US06009,45057.0,50.316453,2017,2.354795037397075
Health care and social assistance,3790.0,"Sutter County, California",0500000US06101,95583.0,86.09826,2017,3.965140244604166
Health care and social assistance,39334.0,"San Mateo County, California",0500000US06081,763450.0,93.43261700000001,2017,5.152138319470823
Health care and social assistance,2734.0,"Tuolumne County, California",0500000US06109,53899.0,48.873236999999996,2017,5.072450323753688
Health care and social assistance,32650.0,"San Joaquin County, California",0500000US06077,724153.0,86.32856600000001,2017,4.508715699582823
