NAICS2017 Label,Number Employed,Name,GEO ID,Population,Broadband (%),Year,Percent Employed
Other services (except public administration),1048.0,"Washington County, Tennessee",0500000US47179,126437.0,85.89780900000002,2017,0.828871295585944
Other services (except public administration),183.0,"Weakley County, Tennessee",0500000US47183,33776.0,62.890625,2017,0.5418048318332543
Other services (except public administration),83.0,"Benton County, Tennessee",0500000US47005,16154.0,56.153846,2017,0.5138046304320911
Other services (except public administration),16.0,"Bledsoe County, Tennessee",0500000US47007,14413.0,40.384617,2017,0.11101089294387012
Other services (except public administration),0.0,"Campbell County, Tennessee",0500000US47013,39824.0,55.232561,2017,0.0
Other services (except public administration),0.0,"Cannon County, Tennessee",0500000US47015,13839.0,58.196718,2017,0.0
Other services (except public administration),0.0,"Houston County, Tennessee",0500000US47083,8188.0,41.095889,2017,0.0
Other services (except public administration),681.0,"Maury County, Tennessee",0500000US47119,87606.0,84.05118,2017,0.7773440175330457
Other services (except public administration),256.0,"Polk County, Texas",0500000US48373,46974.0,42.857143,2017,0.5449823306509984
Other services (except public administration),21.0,"Refugio County, Texas",0500000US48391,7293.0,56.140351,2017,0.2879473467708762
Other services (except public administration),323.0,"Van Zandt County, Texas",0500000US48467,53607.0,52.06812600000001,2017,0.6025332512545003
Other services (except public administration),156.0,"Caldwell County, Texas",0500000US48055,40544.0,55.51331,2017,0.38476716653512233
Other services (except public administration),86.0,"Wilbarger County, Texas",0500000US48487,12972.0,57.731962,2017,0.6629663891458526
Other services (except public administration),18.0,"Martin County, Texas",0500000US48317,5547.0,65.384614,2017,0.32449972958355866
Other services (except public administration),24.0,"Reagan County, Texas",0500000US48383,3735.0,83.333337,2017,0.642570281124498
Other services (except public administration),0.0,"Yoakum County, Texas",0500000US48501,8481.0,61.016946999999995,2017,0.0
Other services (except public administration),354.0,"Hale County, Texas",0500000US48189,34527.0,54.07725,2017,1.0252845599096359
Other services (except public administration),0.0,"Shelby County, Texas",0500000US48419,25689.0,54.33526,2017,0.0
Other services (except public administration),0.0,"Red River County, Texas",0500000US48387,12353.0,50.0,2017,0.0
Other services (except public administration),27.0,"Runnels County, Texas",0500000US48399,10266.0,52.808988,2017,0.2630040911747516
Other services (except public administration),0.0,"San Jacinto County, Texas",0500000US48407,27436.0,40.57143,2017,0.0
Other services (except public administration),10.0,"Sutton County, Texas",0500000US48435,3894.0,51.851851,2017,0.25680534155110424
Other services (except public administration),0.0,"Tom Green County, Texas",0500000US48451,116906.0,79.306602,2017,0.0
Other services (except public administration),78.0,"Upshur County, Texas",0500000US48459,40506.0,53.9823,2017,0.19256406458302475
Other services (except public administration),1138.0,"Victoria County, Texas",0500000US48469,91518.0,70.028651,2017,1.2434712297034463
Other services (except public administration),395.0,"Waller County, Texas",0500000US48473,48443.0,41.806018,2017,0.8153912846025225
Other services (except public administration),210.0,"Wharton County, Texas",0500000US48481,41430.0,49.333331,2017,0.5068790731354091
Other services (except public administration),1130.0,"Wichita County, Texas",0500000US48485,131778.0,82.794988,2017,0.8575027698098316
Other services (except public administration),182.0,"Wilson County, Texas",0500000US48493,47205.0,59.16667,2017,0.38555237792606717
Other services (except public administration),0.0,"Hockley County, Texas",0500000US48219,23273.0,60.000002,2017,0.0
Other services (except public administration),0.0,"Marion County, Texas",0500000US48315,10140.0,53.846151,2017,0.0
Other services (except public administration),167.0,"Maverick County, Texas",0500000US48323,57471.0,50.0,2017,0.2905813366741487
Other services (except public administration),2553.0,"Midland County, Texas",0500000US48329,159883.0,88.02532,2017,1.5967926546286972
Other services (except public administration),689.0,"Grayson County, Texas",0500000US48181,126146.0,82.33881600000002,2017,0.5461925070949535
Other services (except public administration),25.0,"Live Oak County, Texas",0500000US48297,12043.0,52.49999800000001,2017,0.20758947106202774
Other services (except public administration),84.0,"Llano County, Texas",0500000US48299,20195.0,39.263806,2017,0.41594454072790293
Other services (except public administration),137.0,"Palo Pinto County, Texas",0500000US48363,28109.0,61.440676,2017,0.4873883809456046
Other services (except public administration),126.0,"Fannin County, Texas",0500000US48147,33787.0,49.803922,2017,0.37292449758782964
Other services (except public administration),43.0,"Karnes County, Texas",0500000US48255,15051.0,60.465115,2017,0.2856953026376985
Other services (except public administration),209.0,"DeWitt County, Texas",0500000US48123,20474.0,53.01204900000001,2017,1.0208068770147505
Other services (except public administration),2158.0,"Brazos County, Texas",0500000US48041,214231.0,84.552741,2017,1.0073238700281473
Other services (except public administration),33.0,"Callahan County, Texas",0500000US48059,13660.0,55.833333999999994,2017,0.24158125915080528
Other services (except public administration),174.0,"Cass County, Texas",0500000US48067,30118.0,52.17391300000001,2017,0.5777276047546318
Other services (except public administration),228.0,"Gaines County, Texas",0500000US48165,19889.0,46.511626,2017,1.1463623108250791
Other services (except public administration),1650.0,"Gregg County, Texas",0500000US48183,123402.0,83.10678,2017,1.3370934020518306
Other services (except public administration),146.0,"Gray County, Texas",0500000US48179,22962.0,57.926828,2017,0.6358331155822664
Other services (except public administration),96.0,"Madison County, Texas",0500000US48313,13979.0,54.08163700000001,2017,0.6867444023177623
Other services (except public administration),3871.0,"Lubbock County, Texas",0500000US48303,298042.0,81.206912,2017,1.2988102347991222
Other services (except public administration),36.0,"Jack County, Texas",0500000US48237,8839.0,55.737704,2017,0.4072858920692386
Other services (except public administration),923.0,"Kaufman County, Texas",0500000US48257,114852.0,85.40286400000001,2017,0.8036429491867795
Other services (except public administration),518.0,"Kendall County, Texas",0500000US48259,40306.0,51.98675400000001,2017,1.2851684612712748
Other services (except public administration),58.0,"Bosque County, Texas",0500000US48035,17955.0,48.888889,2017,0.3230297967140072
Other services (except public administration),42.0,"Floyd County, Texas",0500000US48153,5953.0,54.16666899999999,2017,0.705526625230976
Other services (except public administration),19389.0,"Bexar County, Texas",0500000US48029,1892004.0,83.83258599999998,2017,1.024786416942036
Other services (except public administration),38.0,"Bailey County, Texas",0500000US48017,7098.0,53.448278,2017,0.5353620738236123
Other services (except public administration),194.0,"Chambers County, Texas",0500000US48071,39283.0,56.92884299999999,2017,0.4938523025227198
Other services (except public administration),0.0,"Baylor County, Texas",0500000US48023,3602.0,73.33333499999999,2017,0.0
Other services (except public administration),2772.0,"Bell County, Texas",0500000US48027,336506.0,84.91298,2017,0.8237594574836704
Other services (except public administration),2151.0,"Cameron County, Texas",0500000US48061,420201.0,56.633025,2017,0.5118978774443659
Other services (except public administration),6019.0,"Denton County, Texas",0500000US48121,781321.0,92.069846,2017,0.770361989502394
Other services (except public administration),184.0,"Deaf Smith County, Texas",0500000US48117,18947.0,57.258064000000005,2017,0.9711299941943315
Other services (except public administration),2828.0,"Galveston County, Texas",0500000US48167,321184.0,85.71313599999999,2017,0.8804921789379296
Other services (except public administration),0.0,"El Paso County, Texas",0500000US48141,834825.0,83.890855,2017,0.0
Other services (except public administration),0.0,"La Salle County, Texas",0500000US48283,7418.0,59.52380900000001,2017,0.0
Other services (except public administration),0.0,"Tyler County, Texas",0500000US48457,21456.0,43.930638,2017,0.0
Other services (except public administration),0.0,"Uvalde County, Texas",0500000US48463,27015.0,55.958551,2017,0.0
Other services (except public administration),0.0,"Wheeler County, Texas",0500000US48483,5599.0,44.897962,2017,0.0
Other services (except public administration),1108.0,"Bowie County, Texas",0500000US48037,93635.0,73.76405600000001,2017,1.1833182036631602
Other services (except public administration),37.0,"Archer County, Texas",0500000US48009,8793.0,62.903225,2017,0.4207892641874218
Other services (except public administration),54.0,"Brewster County, Texas",0500000US48043,9220.0,61.333334,2017,0.5856832971800434
Other services (except public administration),3522.0,"Hidalgo County, Texas",0500000US48215,839539.0,69.939774,2017,0.41951594863371444
Other services (except public administration),2239.0,"Smith County, Texas",0500000US48423,222277.0,78.32491999999998,2017,1.0073017001309177
Other services (except public administration),75.0,"Somervell County, Texas",0500000US48425,8650.0,64.516127,2017,0.8670520231213873
Other services (except public administration),0.0,"Crockett County, Texas",0500000US48105,3836.0,55.000001,2017,0.0
Other services (except public administration),335.0,"Hardin County, Texas",0500000US48199,55993.0,54.034227,2017,0.5982890718482667
Other services (except public administration),48.0,"Haskell County, Texas",0500000US48207,5806.0,48.979592,2017,0.826730967964175
Other services (except public administration),0.0,"Howard County, Texas",0500000US48227,36491.0,55.844152,2017,0.0
Other services (except public administration),95.0,"Leon County, Texas",0500000US48289,16966.0,55.199999,2017,0.5599434162442533
Other services (except public administration),0.0,"Mills County, Texas",0500000US48333,4887.0,40.476188,2017,0.0
Other services (except public administration),123.0,"Montague County, Texas",0500000US48337,19406.0,61.98830600000001,2017,0.6338245903328867
Other services (except public administration),8.0,"Newton County, Texas",0500000US48351,14187.0,50.588232,2017,0.05638965249876648
Other services (except public administration),127.0,"Panola County, Texas",0500000US48365,23574.0,58.048784999999995,2017,0.5387291083396962
Other services (except public administration),0.0,"Reeves County, Texas",0500000US48389,14791.0,58.74999800000001,2017,0.0
Other services (except public administration),30.0,"Sabine County, Texas",0500000US48403,10429.0,46.067417,2017,0.2876594112570716
Other services (except public administration),6.0,"Sherman County, Texas",0500000US48421,3067.0,80.000001,2017,0.19563090968373004
