NAICS2017 Label,Number Employed,Name,GEO ID,Population,Broadband (%),Year,Percent Employed
"Professional, scientific, and technical services",82.0,"New Kent County, Virginia",0500000US51127,20523.0,62.130177,2017,0.39955172245773035
"Professional, scientific, and technical services",489.0,"Augusta County, Virginia",0500000US51015,74390.0,80.31076800000001,2017,0.6573464175292378
"Professional, scientific, and technical services",49.0,"Cumberland County, Virginia",0500000US51049,9797.0,47.191009,2017,0.5001531080943146
"Professional, scientific, and technical services",0.0,"Dickenson County, Virginia",0500000US51051,15181.0,54.26356799999999,2017,0.0
"Professional, scientific, and technical services",348.0,"Goochland County, Virginia",0500000US51075,22148.0,53.811663,2017,1.5712479682138343
"Professional, scientific, and technical services",164.0,"Halifax County, Virginia",0500000US51083,35030.0,55.081964000000006,2017,0.46817013988010275
"Professional, scientific, and technical services",29087.0,"Loudoun County, Virginia",0500000US51107,374558.0,96.085548,2017,7.765686489141869
"Professional, scientific, and technical services",75.0,"Madison County, Virginia",0500000US51113,13108.0,37.391304999999996,2017,0.5721696673787
"Professional, scientific, and technical services",11085.0,"Prince William County, Virginia",0500000US51153,450763.0,95.490217,2017,2.459163684685744
"Professional, scientific, and technical services",1431.0,"Roanoke County, Virginia",0500000US51161,93419.0,88.68436200000002,2017,1.5318083045204938
"Professional, scientific, and technical services",50.0,"Southampton County, Virginia",0500000US51175,18089.0,56.050956000000006,2017,0.27641107855602853
"Professional, scientific, and technical services",0.0,"Highland County, Virginia",0500000US51091,2213.0,41.379312,2017,0.0
"Professional, scientific, and technical services",40.0,"Brunswick County, Virginia",0500000US51025,16435.0,46.153846,2017,0.24338302403407364
"Professional, scientific, and technical services",134.0,"Caroline County, Virginia",0500000US51033,29889.0,53.125,2017,0.4483254709090301
"Professional, scientific, and technical services",285.0,"Gloucester County, Virginia",0500000US51073,37035.0,53.890491000000004,2017,0.7695423248278656
"Professional, scientific, and technical services",62.0,"Northampton County, Virginia",0500000US51131,11998.0,49.107143,2017,0.516752792132022
"Professional, scientific, and technical services",98.0,"Patrick County, Virginia",0500000US51141,17958.0,52.795035,2017,0.5457177859449828
"Professional, scientific, and technical services",393.0,"Powhatan County, Virginia",0500000US51145,28364.0,69.264066,2017,1.385559159497955
"Professional, scientific, and technical services",115.0,"Rockbridge County, Virginia",0500000US51163,22440.0,50.471699,2017,0.5124777183600713
"Professional, scientific, and technical services",438.0,"Shenandoah County, Virginia",0500000US51171,42854.0,51.246536,2017,1.0220749521631587
"Professional, scientific, and technical services",2053.0,"Fauquier County, Virginia",0500000US51061,68406.0,88.825792,2017,3.001198725258018
"Professional, scientific, and technical services",0.0,"Norton city, Virginia",0500000US51720,4043.0,54.16666899999999,2017,0.0
"Professional, scientific, and technical services",298.0,"Staunton city, Virginia",0500000US51790,24273.0,50.253808,2017,1.227701561405677
"Professional, scientific, and technical services",0.0,"Nevada County, California",0500000US06057,98838.0,88.102132,2017,0.0
"Professional, scientific, and technical services",2291.0,"Tulare County, California",0500000US06107,458809.0,81.856352,2017,0.4993363251374755
"Professional, scientific, and technical services",3653.0,"Yolo County, California",0500000US06113,212605.0,89.769852,2017,1.718209825733167
"Professional, scientific, and technical services",0.0,"Humboldt County, California",0500000US06023,135490.0,85.54875899999998,2017,0.0
"Professional, scientific, and technical services",0.0,"Madera County, California",0500000US06039,154440.0,77.986687,2017,0.0
"Professional, scientific, and technical services",632.0,"Mendocino County, California",0500000US06045,87497.0,81.33980600000002,2017,0.7223104792164303
"Professional, scientific, and technical services",4447.0,"Santa Cruz County, California",0500000US06087,273263.0,89.668894,2017,1.627369969589736
"Professional, scientific, and technical services",0.0,"Trinity County, California",0500000US06105,13037.0,41.447368,2017,0.0
"Professional, scientific, and technical services",320664.0,"Los Angeles County, California",0500000US06037,10105722.0,85.591775,2017,3.17309342172682
"Professional, scientific, and technical services",20574.0,"Riverside County, California",0500000US06065,2355002.0,88.84331,2017,0.8736298313122451
"Professional, scientific, and technical services",19125.0,"San Bernardino County, California",0500000US06071,2121220.0,86.10555500000001,2017,0.9016037940430507
"Professional, scientific, and technical services",147030.0,"Santa Clara County, California",0500000US06085,1911226.0,92.93201,2017,7.692967759961407
"Professional, scientific, and technical services",8457.0,"Marin County, California",0500000US06041,260814.0,93.68543000000001,2017,3.2425406611608274
"Professional, scientific, and technical services",10452.0,"Placer County, California",0500000US06061,374985.0,92.955035,2017,2.7873114924596982
"Professional, scientific, and technical services",309.0,"Siskiyou County, California",0500000US06093,43530.0,53.618419,2017,0.709855272226051
"Professional, scientific, and technical services",0.0,"Shasta County, California",0500000US06089,178919.0,83.125031,2017,0.0
"Professional, scientific, and technical services",3744.0,"Solano County, California",0500000US06095,434981.0,92.808753,2017,0.8607272501557539
"Professional, scientific, and technical services",102.0,"Del Norte County, California",0500000US06015,27442.0,51.125401,2017,0.37169302528970194
"Professional, scientific, and technical services",0.0,"Colusa County, California",0500000US06011,21479.0,50.33557400000001,2017,0.0
"Professional, scientific, and technical services",0.0,"Glenn County, California",0500000US06021,27935.0,52.014655,2017,0.0
"Professional, scientific, and technical services",2513.0,"Butte County, California",0500000US06007,225207.0,85.720003,2017,1.1158622955769582
"Professional, scientific, and technical services",965.0,"Kings County, California",0500000US06031,150183.0,81.01983100000001,2017,0.642549423037228
"Professional, scientific, and technical services",165.0,"Plumas County, California",0500000US06063,18724.0,52.758621999999995,2017,0.881221961119419
"Professional, scientific, and technical services",0.0,"San Luis Obispo County, California",0500000US06079,280119.0,89.28686400000001,2017,0.0
"Professional, scientific, and technical services",11012.0,"Fresno County, California",0500000US06019,971616.0,83.16324399999999,2017,1.1333695616375195
"Professional, scientific, and technical services",9717.0,"Kern County, California",0500000US06029,878744.0,82.55627199999998,2017,1.105782799085968
"Professional, scientific, and technical services",137257.0,"Orange County, California",0500000US06059,3155816.0,92.418826,2017,4.349334688714425
"Professional, scientific, and technical services",23167.0,"Ventura County, California",0500000US06111,847834.0,88.218498,2017,2.7324924454551245
"Professional, scientific, and technical services",228.0,"Calaveras County, California",0500000US06009,45057.0,50.316453,2017,0.5060257007790132
"Professional, scientific, and technical services",596.0,"Sutter County, California",0500000US06101,95583.0,86.09826,2017,0.6235418432147977
"Professional, scientific, and technical services",44981.0,"San Mateo County, California",0500000US06081,763450.0,93.43261700000001,2017,5.891806929071976
"Professional, scientific, and technical services",454.0,"Tuolumne County, California",0500000US06109,53899.0,48.873236999999996,2017,0.8423161839737286
"Professional, scientific, and technical services",4882.0,"San Joaquin County, California",0500000US06077,724153.0,86.32856600000001,2017,0.6741669232883106
"Professional, scientific, and technical services",366.0,"Amador County, California",0500000US06005,37306.0,53.861385999999996,2017,0.981075430225701
"Professional, scientific, and technical services",22.0,"Phillips County, Colorado",0500000US08095,4327.0,47.368419,2017,0.5084354055927894
"Professional, scientific, and technical services",111.0,"Archuleta County, Colorado",0500000US08007,12592.0,52.94117900000001,2017,0.8815120711562897
"Professional, scientific, and technical services",50003.0,"Denver County, Colorado",0500000US08031,678467.0,87.98569400000002,2017,7.369997361699243
"Professional, scientific, and technical services",34.0,"Huerfano County, Colorado",0500000US08055,6498.0,59.649122,2017,0.523237919359803
"Professional, scientific, and technical services",0.0,"Baca County, Colorado",0500000US08009,3581.0,57.77778000000001,2017,0.0
"Professional, scientific, and technical services",0.0,"Chaffee County, Colorado",0500000US08015,18818.0,59.235668000000004,2017,0.0
"Professional, scientific, and technical services",36.0,"Gilpin County, Colorado",0500000US08047,5793.0,45.238096,2017,0.6214396685655101
"Professional, scientific, and technical services",34.0,"Kit Carson County, Colorado",0500000US08063,7846.0,48.93616700000001,2017,0.4333418302319653
"Professional, scientific, and technical services",1103.0,"Garfield County, Colorado",0500000US08045,57945.0,43.854749,2017,1.9035292087324187
"Professional, scientific, and technical services",0.0,"Gunnison County, Colorado",0500000US08051,16215.0,41.964287,2017,0.0
"Professional, scientific, and technical services",20487.0,"Jefferson County, Colorado",0500000US08059,564029.0,93.737489,2017,3.6322600433665646
"Professional, scientific, and technical services",0.0,"Mineral County, Colorado",0500000US08079,834.0,44.444441999999995,2017,0.0
"Professional, scientific, and technical services",83.0,"Ouray County, Colorado",0500000US08091,4653.0,58.823526,2017,1.7837954008166774
"Professional, scientific, and technical services",38.0,"Rio Blanco County, Colorado",0500000US08103,6557.0,39.285713,2017,0.5795333231660821
"Professional, scientific, and technical services",0.0,"Sedgwick County, Colorado",0500000US08115,2357.0,71.428573,2017,0.0
"Professional, scientific, and technical services",2673.0,"Weld County, Colorado",0500000US08123,285729.0,89.377016,2017,0.9355018216561847
"Professional, scientific, and technical services",149648.0,"San Diego County, California",0500000US06073,3283665.0,90.376532,2017,4.557346745176503
"Professional, scientific, and technical services",0.0,"Conejos County, Colorado",0500000US08021,8147.0,72.093028,2017,0.0
"Professional, scientific, and technical services",18.0,"Custer County, Colorado",0500000US08027,4505.0,65.517241,2017,0.3995560488346282
"Professional, scientific, and technical services",6166.0,"Adams County, Colorado",0500000US08001,487850.0,85.774016,2017,1.2639130880393563
"Professional, scientific, and technical services",8571.0,"Douglas County, Colorado",0500000US08035,320940.0,97.388148,2017,2.670592634137222
"Professional, scientific, and technical services",1564.0,"Eagle County, Colorado",0500000US08037,53726.0,39.403972,2017,2.9110672672449094
"Professional, scientific, and technical services",31.0,"Lake County, Colorado",0500000US08065,7481.0,40.816325,2017,0.4143831038631199
"Professional, scientific, and technical services",1269.0,"La Plata County, Colorado",0500000US08067,54469.0,50.24999999999999,2017,2.329765554719198
"Professional, scientific, and technical services",80.0,"Moffat County, Colorado",0500000US08081,13056.0,63.999999,2017,0.6127450980392157
"Professional, scientific, and technical services",724.0,"Pitkin County, Colorado",0500000US08097,17747.0,38.392857,2017,4.079562742998816
"Professional, scientific, and technical services",55.0,"Rio Grande County, Colorado",0500000US08105,11430.0,32.75862,2017,0.48118985126859143
"Professional, scientific, and technical services",6.0,"Cheyenne County, Colorado",0500000US08017,2127.0,29.411763,2017,0.2820874471086037
"Professional, scientific, and technical services",0.0,"Bent County, Colorado",0500000US08011,5806.0,71.875,2017,0.0
"Professional, scientific, and technical services",0.0,"Dolores County, Colorado",0500000US08033,1736.0,45.45454400000001,2017,0.0
"Professional, scientific, and technical services",13.0,"Jackson County, Colorado",0500000US08057,1372.0,40.00000100000001,2017,0.9475218658892128
"Professional, scientific, and technical services",9381.0,"Larimer County, Colorado",0500000US08069,330976.0,90.19478,2017,2.8343444841922074
"Professional, scientific, and technical services",91.0,"Logan County, Colorado",0500000US08075,21885.0,65.040648,2017,0.41580991546721496
"Professional, scientific, and technical services",262.0,"Montezuma County, Colorado",0500000US08083,25770.0,48.148146,2017,1.016686069072565
"Professional, scientific, and technical services",145.0,"San Miguel County, Colorado",0500000US08113,7804.0,28.000000000000004,2017,1.858021527421835
"Professional, scientific, and technical services",269.0,"Teller County, Colorado",0500000US08119,23769.0,44.0,2017,1.1317261979889772
"Professional, scientific, and technical services",27086.0,"Boulder County, Colorado",0500000US08013,316782.0,93.516695,2017,8.550359553257445
"Professional, scientific, and technical services",230.0,"Elbert County, Colorado",0500000US08039,24553.0,63.255811,2017,0.9367490734329817
"Professional, scientific, and technical services",65.0,"Las Animas County, Colorado",0500000US08071,14151.0,55.769229,2017,0.4593314960073493
"Professional, scientific, and technical services",84.0,"Yuma County, Colorado",0500000US08125,10109.0,47.058824,2017,0.8309427243050747
"Professional, scientific, and technical services",40.0,"Lincoln County, Colorado",0500000US08073,5520.0,63.333332999999996,2017,0.7246376811594203
"Professional, scientific, and technical services",636.0,"Routt County, Colorado",0500000US08107,24359.0,29.787233,2017,2.610944620058295
"Professional, scientific, and technical services",632.0,"Summit County, Colorado",0500000US08117,29722.0,38.095239,2017,2.126371038288137
"Professional, scientific, and technical services",155.0,"Alamosa County, Colorado",0500000US08003,16345.0,53.571433,2017,0.948302233098807
"Professional, scientific, and technical services",64.0,"Clear Creek County, Colorado",0500000US08019,9257.0,55.000001,2017,0.6913686939613266
