NAICS2017 Label,Number Employed,Name,GEO ID,Population,Broadband (%),Year,Percent Employed
Real estate and rental and leasing,57.0,"Warren County, Tennessee",0500000US47177,40210.0,0.56739813,2017,0.0014175578214374533
Real estate and rental and leasing,783.0,"Washington County, Tennessee",0500000US47179,126437.0,0.85897809,2017,0.006192807485150708
Real estate and rental and leasing,51.0,"Weakley County, Tennessee",0500000US47183,33776.0,0.62890625,2017,0.0015099478919943154
Real estate and rental and leasing,6.0,"Bledsoe County, Tennessee",0500000US47007,14413.0,0.40384617,2017,0.00041629084853951295
Real estate and rental and leasing,111.0,"Campbell County, Tennessee",0500000US47013,39824.0,0.55232561,2017,0.0027872639614302933
Real estate and rental and leasing,320.0,"Maury County, Tennessee",0500000US47119,87606.0,0.8405118,2017,0.003652717850375545
Real estate and rental and leasing,80.0,"Polk County, Texas",0500000US48373,46974.0,0.42857143,2017,0.00170306978328437
Real estate and rental and leasing,50.0,"Refugio County, Texas",0500000US48391,7293.0,0.56140351,2017,0.006855889208830386
Real estate and rental and leasing,62.0,"Van Zandt County, Texas",0500000US48467,53607.0,0.52068126,2017,0.0011565653739250472
Real estate and rental and leasing,62.0,"Caldwell County, Texas",0500000US48055,40544.0,0.5551331,2017,0.0015292028413575376
Real estate and rental and leasing,73.0,"Wilbarger County, Texas",0500000US48487,12972.0,0.57731962,2017,0.005627505396238052
Real estate and rental and leasing,0.0,"Martin County, Texas",0500000US48317,5547.0,0.65384614,2017,0.0
Real estate and rental and leasing,60.0,"Yoakum County, Texas",0500000US48501,8481.0,0.61016947,2017,0.007074637424831978
Real estate and rental and leasing,64.0,"Hale County, Texas",0500000US48189,34527.0,0.5407725,2017,0.0018536218032264603
Real estate and rental and leasing,47.0,"Shelby County, Texas",0500000US48419,25689.0,0.5433526,2017,0.0018295768616917747
Real estate and rental and leasing,20.0,"Red River County, Texas",0500000US48387,12353.0,0.5,2017,0.001619039909333765
Real estate and rental and leasing,11.0,"San Jacinto County, Texas",0500000US48407,27436.0,0.4057143,2017,0.0004009330806239977
Real estate and rental and leasing,0.0,"Sutton County, Texas",0500000US48435,3894.0,0.51851851,2017,0.0
Real estate and rental and leasing,627.0,"Tom Green County, Texas",0500000US48451,116906.0,0.79306602,2017,0.00536328332164303
Real estate and rental and leasing,26.0,"Upshur County, Texas",0500000US48459,40506.0,0.5398229999999999,2017,0.0006418802152767492
Real estate and rental and leasing,1141.0,"Victoria County, Texas",0500000US48469,91518.0,0.70028651,2017,0.012467492733669878
Real estate and rental and leasing,180.0,"Waller County, Texas",0500000US48473,48443.0,0.41806018,2017,0.0037157071197076977
Real estate and rental and leasing,177.0,"Wharton County, Texas",0500000US48481,41430.0,0.49333331,2017,0.004272266473569877
Real estate and rental and leasing,783.0,"Wichita County, Texas",0500000US48485,131778.0,0.82794988,2017,0.005941811227974321
Real estate and rental and leasing,72.0,"Wilson County, Texas",0500000US48493,47205.0,0.5916667,2017,0.001525262154432793
Real estate and rental and leasing,60.0,"Hockley County, Texas",0500000US48219,23273.0,0.60000002,2017,0.002578094787951704
Real estate and rental and leasing,8.0,"Marion County, Texas",0500000US48315,10140.0,0.53846151,2017,0.0007889546351084812
Real estate and rental and leasing,101.0,"Maverick County, Texas",0500000US48323,57471.0,0.5,2017,0.0017574080840771869
Real estate and rental and leasing,0.0,"Midland County, Texas",0500000US48329,159883.0,0.8802532,2017,0.0
Real estate and rental and leasing,329.0,"Grayson County, Texas",0500000US48181,126146.0,0.82338816,2017,0.0026080890396841753
Real estate and rental and leasing,19.0,"Live Oak County, Texas",0500000US48297,12043.0,0.52499998,2017,0.0015776799800714108
Real estate and rental and leasing,62.0,"Llano County, Texas",0500000US48299,20195.0,0.39263806,2017,0.0030700668482297596
Real estate and rental and leasing,115.0,"Palo Pinto County, Texas",0500000US48363,28109.0,0.61440676,2017,0.0040912163364047105
Real estate and rental and leasing,55.0,"Fannin County, Texas",0500000US48147,33787.0,0.49803922,2017,0.0016278450291532247
Real estate and rental and leasing,102.0,"Karnes County, Texas",0500000US48255,15051.0,0.60465115,2017,0.006776958341638429
Real estate and rental and leasing,114.0,"DeWitt County, Texas",0500000US48123,20474.0,0.53012049,2017,0.005568037510989548
Real estate and rental and leasing,1486.0,"Brazos County, Texas",0500000US48041,214231.0,0.84552741,2017,0.006936437770444053
Real estate and rental and leasing,25.0,"Callahan County, Texas",0500000US48059,13660.0,0.55833334,2017,0.0018301610541727673
Real estate and rental and leasing,32.0,"Cass County, Texas",0500000US48067,30118.0,0.52173913,2017,0.0010624875489740355
Real estate and rental and leasing,182.0,"Gaines County, Texas",0500000US48165,19889.0,0.46511626,2017,0.009150786867112475
Real estate and rental and leasing,1020.0,"Gregg County, Texas",0500000US48183,123402.0,0.8310678,2017,0.008265668303593135
Real estate and rental and leasing,61.0,"Gray County, Texas",0500000US48179,22962.0,0.57926828,2017,0.002656563017158784
Real estate and rental and leasing,23.0,"Madison County, Texas",0500000US48313,13979.0,0.54081637,2017,0.0016453251305529723
Real estate and rental and leasing,1998.0,"Lubbock County, Texas",0500000US48303,298042.0,0.81206912,2017,0.0067037531623059836
Real estate and rental and leasing,21.0,"Jack County, Texas",0500000US48237,8839.0,0.55737704,2017,0.002375834370403892
Real estate and rental and leasing,217.0,"Kaufman County, Texas",0500000US48257,114852.0,0.85402864,2017,0.0018893880820534253
Real estate and rental and leasing,200.0,"Kendall County, Texas",0500000US48259,40306.0,0.51986754,2017,0.004962040391008783
Real estate and rental and leasing,21.0,"Bosque County, Texas",0500000US48035,17955.0,0.48888889,2017,0.0011695906432748538
Real estate and rental and leasing,13354.0,"Bexar County, Texas",0500000US48029,1892004.0,0.83832586,2017,0.0070581246128443706
Real estate and rental and leasing,158.0,"Chambers County, Texas",0500000US48071,39283.0,0.56928843,2017,0.004022096072092253
Real estate and rental and leasing,1552.0,"Bell County, Texas",0500000US48027,336506.0,0.8491298,2017,0.004612102013039887
Real estate and rental and leasing,1482.0,"Cameron County, Texas",0500000US48061,420201.0,0.56633025,2017,0.0035268835628663427
Real estate and rental and leasing,4745.0,"Denton County, Texas",0500000US48121,781321.0,0.92069846,2017,0.006073048081390363
Real estate and rental and leasing,60.0,"Deaf Smith County, Texas",0500000US48117,18947.0,0.57258064,2017,0.0031667282419380375
Real estate and rental and leasing,1920.0,"Galveston County, Texas",0500000US48167,321184.0,0.85713136,2017,0.005977881837202352
Real estate and rental and leasing,4043.0,"El Paso County, Texas",0500000US48141,834825.0,0.83890855,2017,0.004842931153235708
Real estate and rental and leasing,0.0,"La Salle County, Texas",0500000US48283,7418.0,0.59523809,2017,0.0
Real estate and rental and leasing,0.0,"Tyler County, Texas",0500000US48457,21456.0,0.43930638,2017,0.0
Real estate and rental and leasing,128.0,"Uvalde County, Texas",0500000US48463,27015.0,0.55958551,2017,0.004738108458263927
Real estate and rental and leasing,0.0,"Wheeler County, Texas",0500000US48483,5599.0,0.44897962,2017,0.0
Real estate and rental and leasing,519.0,"Bowie County, Texas",0500000US48037,93635.0,0.73764056,2017,0.00554279916697816
Real estate and rental and leasing,49.0,"Brewster County, Texas",0500000US48043,9220.0,0.61333334,2017,0.005314533622559653
Real estate and rental and leasing,2280.0,"Hidalgo County, Texas",0500000US48215,839539.0,0.69939774,2017,0.0027157761581058175
Real estate and rental and leasing,1177.0,"Smith County, Texas",0500000US48423,222277.0,0.7832492,2017,0.0052951947344979464
Real estate and rental and leasing,22.0,"Somervell County, Texas",0500000US48425,8650.0,0.64516127,2017,0.0025433526011560694
Real estate and rental and leasing,0.0,"Crockett County, Texas",0500000US48105,3836.0,0.55000001,2017,0.0
Real estate and rental and leasing,0.0,"Hardin County, Texas",0500000US48199,55993.0,0.54034227,2017,0.0
Real estate and rental and leasing,2.0,"Haskell County, Texas",0500000US48207,5806.0,0.48979592,2017,0.0003444712366517396
Real estate and rental and leasing,127.0,"Howard County, Texas",0500000US48227,36491.0,0.55844152,2017,0.0034803102134772957
Real estate and rental and leasing,78.0,"Leon County, Texas",0500000US48289,16966.0,0.55199999,2017,0.0045974301544265
Real estate and rental and leasing,0.0,"Mills County, Texas",0500000US48333,4887.0,0.40476188,2017,0.0
Real estate and rental and leasing,35.0,"Montague County, Texas",0500000US48337,19406.0,0.61988306,2017,0.0018035659074513038
