,Name,Population,White,Black or African American,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Other
0,"Corozal Municipio, Puerto Rico",34933.0,29786.0,3413.0,0.0,0.0,67.0,3087.0
1,"Maunabo Municipio, Puerto Rico",11297.0,3831.0,7142.0,43.0,0.0,0.0,447.0
2,"Peñuelas Municipio, Puerto Rico",21661.0,17199.0,869.0,29.0,63.0,43.0,3690.0
3,"Ponce Municipio, Puerto Rico",148863.0,130902.0,20907.0,494.0,189.0,12.0,10503.0
4,"San Sebastián Municipio, Puerto Rico",38970.0,28642.0,1544.0,0.0,97.0,21.0,9287.0
5,"Toa Alta Municipio, Puerto Rico",74169.0,63877.0,11842.0,448.0,296.0,6.0,4521.0
6,"Toa Baja Municipio, Puerto Rico",81905.0,65268.0,25079.0,192.0,74.0,7.0,8982.0
7,"Vieques Municipio, Puerto Rico",8931.0,4917.0,917.0,12.0,162.0,0.0,3028.0
8,"Yabucoa Municipio, Puerto Rico",35025.0,15177.0,17936.0,111.0,19.0,0.0,2092.0
9,"Aguada Municipio, Puerto Rico",39470.0,36702.0,10414.0,3397.0,0.0,0.0,1731.0
10,"Caguas Municipio, Puerto Rico",134269.0,105404.0,13728.0,686.0,628.0,26.0,17790.0
11,"Canóvanas Municipio, Puerto Rico",46779.0,23757.0,5693.0,2.0,116.0,0.0,17492.0
12,"Cidra Municipio, Puerto Rico",41181.0,35015.0,3618.0,117.0,126.0,0.0,2864.0
13,"Coamo Municipio, Puerto Rico",39796.0,26393.0,8671.0,19.0,19.0,0.0,4923.0
14,"Dorado Municipio, Puerto Rico",37722.0,31690.0,6940.0,0.0,47.0,0.0,1163.0
15,"Luquillo Municipio, Puerto Rico",18952.0,11732.0,1917.0,63.0,61.0,0.0,5561.0
16,"Barranquitas Municipio, Puerto Rico",29237.0,26522.0,2102.0,13.0,13.0,27.0,1591.0
17,"Orocovis Municipio, Puerto Rico",21906.0,19115.0,939.0,16.0,0.0,0.0,2213.0
18,"San Lorenzo Municipio, Puerto Rico",38689.0,35286.0,4249.0,225.0,45.0,6.0,743.0
19,"Añasco Municipio, Puerto Rico",27892.0,19835.0,3336.0,1263.0,10.0,1.0,7179.0
20,"Ceiba Municipio, Puerto Rico",12238.0,7791.0,1189.0,76.0,137.0,0.0,3231.0
21,"Ciales Municipio, Puerto Rico",17325.0,16907.0,397.0,49.0,0.0,0.0,284.0
22,"Comerío Municipio, Puerto Rico",19914.0,16212.0,1933.0,91.0,18.0,0.0,2016.0
23,"Isabela Municipio, Puerto Rico",43314.0,31330.0,2630.0,178.0,0.0,0.0,9801.0
24,"Jayuya Municipio, Puerto Rico",15297.0,13354.0,517.0,47.0,4.0,0.0,1822.0
25,"Lares Municipio, Puerto Rico",27321.0,19688.0,444.0,157.0,0.0,0.0,7439.0
26,"Las Piedras Municipio, Puerto Rico",38253.0,19180.0,18526.0,149.0,0.0,0.0,842.0
27,"Río Grande Municipio, Puerto Rico",51768.0,28404.0,7696.0,355.0,166.0,0.0,16529.0
28,"San Juan Municipio, Puerto Rico",355181.0,265490.0,60695.0,2787.0,1700.0,75.0,43665.0
29,"Vega Alta Municipio, Puerto Rico",38589.0,31859.0,5201.0,86.0,172.0,0.0,2734.0
30,"Vega Baja Municipio, Puerto Rico",54754.0,48942.0,2785.0,83.0,20.0,27.0,3578.0
31,"Maricao Municipio, Puerto Rico",6180.0,3182.0,234.0,22.0,0.0,0.0,2915.0
32,"Aibonito Municipio, Puerto Rico",24008.0,19415.0,2157.0,48.0,72.0,0.0,2540.0
33,"Guayanilla Municipio, Puerto Rico",19578.0,16201.0,782.0,153.0,76.0,18.0,2756.0
34,"Juncos Municipio, Puerto Rico",39704.0,23113.0,2146.0,28.0,83.0,0.0,14633.0
35,"Lajas Municipio, Puerto Rico",23893.0,11615.0,507.0,43.0,0.0,0.0,12122.0
36,"Sabana Grande Municipio, Puerto Rico",23610.0,17775.0,956.0,32.0,4.0,24.0,5243.0
37,"Adjuntas Municipio, Puerto Rico",18525.0,14508.0,234.0,40.0,0.0,0.0,3878.0
38,"Camuy Municipio, Puerto Rico",32936.0,26322.0,783.0,34.0,0.0,0.0,6056.0
39,"Guánica Municipio, Puerto Rico",17327.0,12592.0,804.0,38.0,35.0,0.0,4310.0
40,"Hormigueros Municipio, Puerto Rico",16474.0,6342.0,549.0,51.0,78.0,0.0,9769.0
41,"Manatí Municipio, Puerto Rico",40705.0,35052.0,1797.0,51.0,14.0,0.0,4127.0
42,"Naguabo Municipio, Puerto Rico",26584.0,17118.0,1182.0,106.0,121.0,0.0,8241.0
43,"Naranjito Municipio, Puerto Rico",29112.0,26030.0,3154.0,20.0,0.0,0.0,1613.0
44,"San Germán Municipio, Puerto Rico",32937.0,22079.0,931.0,39.0,0.0,0.0,10073.0
45,"Utuado Municipio, Puerto Rico",30209.0,22457.0,1012.0,130.0,357.0,0.0,7034.0
46,"Arecibo Municipio, Puerto Rico",89550.0,77736.0,4683.0,393.0,784.0,8.0,7475.0
47,"Arroyo Municipio, Puerto Rico",18504.0,10902.0,4187.0,0.0,0.0,0.0,3656.0
48,"Cataño Municipio, Puerto Rico",25595.0,17896.0,4125.0,71.0,119.0,13.0,5080.0
49,"Florida Municipio, Puerto Rico",12140.0,11095.0,268.0,0.0,26.0,0.0,790.0
50,"Hatillo Municipio, Puerto Rico",40978.0,40355.0,428.0,0.0,16.0,0.0,499.0
51,"Humacao Municipio, Puerto Rico",54736.0,32007.0,9143.0,132.0,421.0,0.0,13960.0
52,"Juana Díaz Municipio, Puerto Rico",47952.0,38486.0,20662.0,137.0,175.0,0.0,5293.0
53,"Morovis Municipio, Puerto Rico",31785.0,29925.0,440.0,62.0,29.0,0.0,1495.0
54,"Mayagüez Municipio, Puerto Rico",79615.0,31102.0,4122.0,465.0,191.0,1.0,45866.0
55,"Santa Isabel Municipio, Puerto Rico",22475.0,12666.0,6431.0,59.0,0.0,0.0,3480.0
56,"Trujillo Alto Municipio, Puerto Rico",69478.0,58275.0,8204.0,397.0,38.0,11.0,4859.0
57,"Quebradillas Municipio, Puerto Rico",24548.0,19707.0,1329.0,83.0,27.0,0.0,3561.0
58,"Guayama Municipio, Puerto Rico",42623.0,32045.0,6082.0,28.0,114.0,0.0,4919.0
59,"Moca Municipio, Puerto Rico",37676.0,28489.0,2485.0,235.0,71.0,0.0,7863.0
60,"Culebra Municipio, Puerto Rico",1494.0,776.0,107.0,5.0,15.0,0.0,624.0
61,"Gurabo Municipio, Puerto Rico",47074.0,31980.0,6884.0,214.0,81.0,0.0,9162.0
62,"Salinas Municipio, Puerto Rico",29239.0,17049.0,8260.0,90.0,137.0,0.0,4153.0
63,"Barceloneta Municipio, Puerto Rico",24583.0,22059.0,955.0,82.0,90.0,0.0,1783.0
64,"Loíza Municipio, Puerto Rico",27242.0,6571.0,10221.0,89.0,73.0,0.0,10583.0
65,"Yauco Municipio, Puerto Rico",37585.0,30921.0,1610.0,279.0,10.0,0.0,5323.0
66,"Guaynabo Municipio, Puerto Rico",90773.0,76007.0,9877.0,683.0,143.0,11.0,9417.0
67,"Aguadilla Municipio, Puerto Rico",55722.0,44545.0,6698.0,479.0,697.0,10.0,8638.0
68,"Cabo Rojo Municipio, Puerto Rico",49726.0,23594.0,1100.0,157.0,80.0,0.0,24907.0
69,"Fajardo Municipio, Puerto Rico",33075.0,19680.0,4063.0,107.0,185.0,0.0,9834.0
70,"Las Marías Municipio, Puerto Rico",8874.0,5780.0,77.0,0.0,0.0,0.0,3047.0
71,"Patillas Municipio, Puerto Rico",17769.0,7337.0,9999.0,73.0,0.0,12.0,367.0
72,"Rincón Municipio, Puerto Rico",14526.0,13480.0,3862.0,901.0,82.0,55.0,718.0
73,"Villalba Municipio, Puerto Rico",23659.0,19982.0,7734.0,80.0,10.0,0.0,2932.0
74,"Aguas Buenas Municipio, Puerto Rico",26855.0,24053.0,6031.0,159.0,21.0,0.0,680.0
75,"Bayamón Municipio, Puerto Rico",188614.0,161040.0,50472.0,1434.0,372.0,50.0,13651.0
76,"Carolina Municipio, Puerto Rico",161684.0,102305.0,51727.0,11711.0,756.0,30.0,16998.0
77,"Cayey Municipio, Puerto Rico",45431.0,38865.0,7328.0,202.0,50.0,0.0,4328.0
78,"Monroe County, Alabama",21745.0,12326.0,9262.0,546.0,116.0,0.0,0.0
79,"Lawrence County, Alabama",33288.0,27729.0,4006.0,3030.0,111.0,0.0,184.0
80,"Lee County, Alabama",156597.0,111991.0,37502.0,1212.0,6639.0,71.0,2190.0
81,"Marion County, Alabama",30058.0,28518.0,1271.0,291.0,259.0,118.0,249.0
82,"Pickens County, Alabama",20170.0,11534.0,8425.0,76.0,44.0,10.0,403.0
83,"Sumter County, Alabama",13084.0,3297.0,9320.0,82.0,392.0,0.0,59.0
84,"Jefferson County, Alabama",659460.0,351967.0,286759.0,4844.0,12745.0,463.0,13912.0
85,"Choctaw County, Alabama",13188.0,7560.0,5661.0,118.0,10.0,0.0,7.0
86,"Franklin County, Alabama",31507.0,27288.0,1710.0,327.0,262.0,43.0,2269.0
87,"Marengo County, Alabama",19743.0,8980.0,10700.0,47.0,0.0,1.0,52.0
88,"Russell County, Alabama",58480.0,31715.0,26029.0,827.0,785.0,166.0,1485.0
89,"Cherokee County, Alabama",25855.0,24326.0,1344.0,341.0,52.0,2.0,60.0
90,"Covington County, Alabama",37519.0,32206.0,5047.0,429.0,209.0,8.0,77.0
91,"Crenshaw County, Alabama",13866.0,10108.0,3479.0,172.0,203.0,0.0,149.0
92,"Dallas County, Alabama",40755.0,11603.0,28867.0,164.0,241.0,75.0,130.0
93,"Lauderdale County, Alabama",92590.0,81976.0,10192.0,839.0,755.0,135.0,362.0
94,"Lowndes County, Alabama",10362.0,2628.0,7775.0,67.0,0.0,0.0,0.0
95,"Macon County, Alabama",19358.0,3177.0,16001.0,132.0,43.0,0.0,160.0
96,"Limestone County, Alabama",91695.0,76745.0,12869.0,1279.0,1713.0,149.0,1064.0
97,"Shelby County, Alabama",208721.0,171926.0,26218.0,1312.0,5181.0,248.0,7700.0
98,"St. Clair County, Alabama",86937.0,77091.0,8548.0,735.0,883.0,11.0,809.0
99,"Winston County, Alabama",23968.0,23564.0,255.0,360.0,70.0,19.0,129.0
100,"Baldwin County, Alabama",203360.0,178615.0,20057.0,2833.0,2647.0,37.0,2570.0
101,"Cullman County, Alabama",81703.0,79124.0,1272.0,1018.0,528.0,33.0,849.0
102,"Elmore County, Alabama",80989.0,62017.0,17790.0,759.0,838.0,83.0,833.0
103,"Houston County, Alabama",104108.0,74061.0,28934.0,1181.0,1278.0,60.0,806.0
104,"Jackson County, Alabama",52326.0,49107.0,2046.0,1663.0,304.0,77.0,648.0
105,"Talladega County, Alabama",80888.0,53297.0,26783.0,749.0,609.0,50.0,824.0
106,"Tuscaloosa County, Alabama",204424.0,134393.0,64951.0,1275.0,3660.0,182.0,2423.0
107,"Washington County, Alabama",16746.0,11189.0,4211.0,1384.0,173.0,0.0,8.0
108,"Clay County, Alabama",13407.0,11276.0,2068.0,155.0,6.0,0.0,33.0
109,"Coffee County, Alabama",51073.0,40364.0,9509.0,1325.0,1073.0,34.0,449.0
110,"Morgan County, Alabama",119157.0,99270.0,15826.0,2020.0,1049.0,55.0,3612.0
111,"Pike County, Alabama",33287.0,19642.0,13144.0,367.0,749.0,21.0,45.0
112,"Chilton County, Alabama",43805.0,37213.0,4720.0,446.0,236.0,0.0,2019.0
113,"Colbert County, Alabama",54435.0,44342.0,9277.0,753.0,432.0,25.0,826.0
114,"Coosa County, Alabama",10955.0,7306.0,3776.0,14.0,0.0,0.0,0.0
115,"Dale County, Alabama",49393.0,37740.0,10647.0,877.0,1167.0,78.0,936.0
116,"Hale County, Alabama",14995.0,5966.0,8802.0,25.0,26.0,0.0,214.0
117,"Etowah County, Alabama",103132.0,84833.0,16787.0,1333.0,929.0,89.0,749.0
118,"DeKalb County, Alabama",71194.0,63145.0,1415.0,1912.0,310.0,650.0,5570.0
119,"Escambia County, Alabama",37621.0,23574.0,12328.0,1599.0,175.0,59.0,410.0
120,"Lamar County, Alabama",14021.0,12347.0,1583.0,65.0,0.0,0.0,109.0
121,"Randolph County, Alabama",22530.0,17741.0,4821.0,116.0,52.0,54.0,180.0
122,"Butler County, Alabama",20126.0,10813.0,9218.0,133.0,246.0,0.0,14.0
123,"Mobile County, Alabama",414328.0,252172.0,150095.0,6386.0,9354.0,187.0,4324.0
124,"Conecuh County, Alabama",12649.0,6625.0,6007.0,183.0,37.0,44.0,2.0
