,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate (%),Broadband (%),GEO ID
0,"Monroe County, Alabama",21745.0,41.7,26036.0,17264.0,7249.0,33.3363991722235,0.53807104,0500000US01099
1,"Lawrence County, Alabama",33288.0,42.0,43779.0,22419.0,5490.0,16.49242970439798,0.66666663,0500000US01079
2,"Lee County, Alabama",156597.0,31.0,47564.0,26170.0,33132.0,21.15749343857162,0.82992643,0500000US01081
3,"Marion County, Alabama",30058.0,44.1,35719.0,21835.0,5175.0,17.21671435225231,0.55303031,0500000US01093
4,"Pickens County, Alabama",20170.0,42.1,36220.0,20089.0,4340.0,21.51710461080813,0.57291669,0500000US01107
5,"Sumter County, Alabama",13084.0,35.9,21663.0,14739.0,4398.0,33.61357383063283,0.47286823,0500000US01119
6,"Jefferson County, Alabama",659460.0,37.6,49321.0,29456.0,113368.0,17.191035089315502,0.82967234,0500000US01073
7,"Choctaw County, Alabama",13188.0,45.8,32122.0,20994.0,2903.0,22.012435547467394,0.53289473,0500000US01023
8,"Franklin County, Alabama",31507.0,37.7,39501.0,19314.0,7175.0,22.772717173961343,0.5703125,0500000US01059
9,"Marengo County, Alabama",19743.0,42.1,32255.0,22996.0,5000.0,25.325431798612165,0.5633803000000001,0500000US01091
10,"Russell County, Alabama",58480.0,35.3,38988.0,21279.0,12024.0,20.560875512995896,0.53699785,0500000US01113
11,"Cherokee County, Alabama",25855.0,46.1,40041.0,23010.0,4104.0,15.873138657899826,0.60071939,0500000US01019
12,"Covington County, Alabama",37519.0,43.4,39467.0,22431.0,6491.0,17.300567712359072,0.47353759,0500000US01039
13,"Crenshaw County, Alabama",13866.0,41.4,38937.0,21580.0,2399.0,17.301312563103995,0.54918033,0500000US01041
14,"Dallas County, Alabama",40755.0,39.3,30065.0,18248.0,12795.0,31.39492086860508,0.52427185,0500000US01047
15,"Lauderdale County, Alabama",92590.0,41.5,44888.0,25803.0,14701.0,15.87752457068798,0.77238691,0500000US01077
16,"Lowndes County, Alabama",10362.0,40.7,29785.0,18976.0,3095.0,29.868751206330824,0.58992803,0500000US01085
17,"Macon County, Alabama",19358.0,38.0,32308.0,19564.0,4380.0,22.626304370286185,0.60000002,0500000US01087
18,"Limestone County, Alabama",91695.0,39.1,52831.0,26685.0,13138.0,14.327935001908502,0.77396989,0500000US01083
19,"Shelby County, Alabama",208721.0,38.5,74063.0,35330.0,17127.0,8.205690850465453,0.91201138,0500000US01117
20,"St. Clair County, Alabama",86937.0,40.1,53483.0,24686.0,11656.0,13.407409963536814,0.77703458,0500000US01115
21,"Winston County, Alabama",23968.0,44.6,35362.0,20580.0,4395.0,18.336949265687583,0.55454546,0500000US01133
22,"Baldwin County, Alabama",203360.0,42.6,52562.0,29364.0,23728.0,11.667977970102282,0.82068217,0500000US01003
23,"Cullman County, Alabama",81703.0,40.6,40997.0,21857.0,13157.0,16.10344785381198,0.78934407,0500000US01043
24,"Elmore County, Alabama",80989.0,38.5,54981.0,26251.0,10299.0,12.716541752583684,0.86145735,0500000US01051
25,"Houston County, Alabama",104108.0,39.6,42803.0,24781.0,19030.0,18.279094786183578,0.75857788,0500000US01069
26,"Jackson County, Alabama",52326.0,43.0,39281.0,20946.0,9827.0,18.780338646179718,0.58921164,0500000US01071
27,"Talladega County, Alabama",80888.0,40.6,39219.0,21382.0,14946.0,18.477400850558798,0.82093501,0500000US01121
