,Name,Population,White,Black or African American,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Other,White (%),Black or African American (%),American Indian and Alaskan Native (%),Asian (%),Native Hawaiian and Other Pacific Islander (%),Other (%),Broadband (%),GEO ID
0,"Monroe County, Alabama",21745.0,12326.0,9262.0,546.0,116.0,0.0,0.0,56.684295240285124,42.59369970108071,2.5109220510462174,0.53345596688894,0.0,0.0,53.807104,0500000US01099
1,"Lawrence County, Alabama",33288.0,27729.0,4006.0,3030.0,111.0,0.0,184.0,83.3002883922134,12.03436673876472,9.102379235760635,0.3334534967555876,0.0,0.5527517423696227,66.666663,0500000US01079
2,"Lee County, Alabama",156597.0,111991.0,37502.0,1212.0,6639.0,71.0,2190.0,71.51541855846536,23.948096068251626,0.7739611869959194,4.2395448188662614,0.045339310459331914,1.3984942240272802,82.992643,0500000US01081
3,"Marion County, Alabama",30058.0,28518.0,1271.0,291.0,259.0,118.0,249.0,94.87657196087564,4.22849158293965,0.9681282853150576,0.8616674429436423,0.3925743562445938,0.828398429702575,55.303031,0500000US01093
4,"Pickens County, Alabama",20170.0,11534.0,8425.0,76.0,44.0,10.0,403.0,57.18393653941497,41.769955379276155,0.37679722359940504,0.2181457610312345,0.0495785820525533,1.998016856717898,57.29166899999999,0500000US01107
5,"Sumter County, Alabama",13084.0,3297.0,9320.0,82.0,392.0,0.0,59.0,25.19871598899419,71.23203913176398,0.6267196575970652,2.996025680220116,0.0,0.450932436563742,47.286823,0500000US01119
6,"Jefferson County, Alabama",659460.0,351967.0,286759.0,4844.0,12745.0,463.0,13912.0,53.372001334425136,43.48391107876141,0.7345403815242775,1.93264185849028,0.0702089588451157,2.1096048281927637,82.96723399999999,0500000US01073
7,"Choctaw County, Alabama",13188.0,7560.0,5661.0,118.0,10.0,0.0,7.0,57.32484076433121,42.925386715195636,0.894752805580831,0.07582650894752806,0.0,0.05307855626326964,53.289473,0500000US01023
8,"Franklin County, Alabama",31507.0,27288.0,1710.0,327.0,262.0,43.0,2269.0,86.60932491192433,5.427365347383121,1.0378646015171231,0.8315612403592852,0.13647760815056972,7.201574253340527,57.03125,0500000US01059
9,"Marengo County, Alabama",19743.0,8980.0,10700.0,47.0,0.0,1.0,52.0,45.48447551030745,54.196424049030036,0.23805905890695436,0.0,0.005065086359722433,0.2633844907055665,56.33803,0500000US01091
10,"Russell County, Alabama",58480.0,31715.0,26029.0,827.0,785.0,166.0,1485.0,54.232216142270865,44.509233926128594,1.4141586867305063,1.3423392612859097,0.28385772913816687,2.539329685362517,53.699785,0500000US01113
11,"Cherokee County, Alabama",25855.0,24326.0,1344.0,341.0,52.0,2.0,60.0,94.08625024173274,5.198220847031522,1.318893830980468,0.20112163991491008,0.007735447689035003,0.2320634306710501,60.07193899999999,0500000US01019
12,"Covington County, Alabama",37519.0,32206.0,5047.0,429.0,209.0,8.0,77.0,85.83917481809216,13.451851062128522,1.1434206668621232,0.5570510941123165,0.021322529918174793,0.20522935046243238,47.353759,0500000US01039
13,"Crenshaw County, Alabama",13866.0,10108.0,3479.0,172.0,203.0,0.0,149.0,72.89773546805135,25.09014856483485,1.240444252127506,1.4640126929179287,0.0,1.0745708928313862,54.918032999999994,0500000US01041
14,"Dallas County, Alabama",40755.0,11603.0,28867.0,164.0,241.0,75.0,130.0,28.47012636486321,70.83057293583609,0.4024046129309287,0.5913384860753281,0.1840264998159735,0.3189792663476874,52.427184999999994,0500000US01047
15,"Lauderdale County, Alabama",92590.0,81976.0,10192.0,839.0,755.0,135.0,362.0,88.53655902365266,11.007668214710012,0.906145372070418,0.8154228318392915,0.1458040825143104,0.3909709471865212,77.238691,0500000US01077
16,"Lowndes County, Alabama",10362.0,2628.0,7775.0,67.0,0.0,0.0,0.0,25.361899247249564,75.03377726307663,0.6465933217525575,0.0,0.0,0.0,58.992803,0500000US01085
17,"Macon County, Alabama",19358.0,3177.0,16001.0,132.0,43.0,0.0,160.0,16.411819402830872,82.65833247236284,0.6818886248579399,0.2221303853703895,0.0,0.8265316664944725,60.000002,0500000US01087
18,"Limestone County, Alabama",91695.0,76745.0,12869.0,1279.0,1713.0,149.0,1064.0,83.69594852500137,14.034571132559027,1.3948415944162713,1.8681498445934892,0.16249522874747804,1.1603686133376956,77.396989,0500000US01083
19,"Shelby County, Alabama",208721.0,171926.0,26218.0,1312.0,5181.0,248.0,7700.0,82.37120366422161,12.561265996234207,0.6285903191341552,2.4822610087149832,0.11881890178755372,3.689135257113563,91.201138,0500000US01117
20,"St. Clair County, Alabama",86937.0,77091.0,8548.0,735.0,883.0,11.0,809.0,88.67455743814486,9.832407375455789,0.8454398012353773,1.015678019715426,0.012652840562706328,0.9305589104754017,77.703458,0500000US01115
21,"Winston County, Alabama",23968.0,23564.0,255.0,360.0,70.0,19.0,129.0,98.31441922563418,1.0639185580774366,1.5020026702269693,0.29205607476635514,0.07927236315086783,0.5382176234979973,55.45454600000001,0500000US01133
22,"Baldwin County, Alabama",203360.0,178615.0,20057.0,2833.0,2647.0,37.0,2570.0,87.83192368214004,9.862804878048781,1.393095987411487,1.3016325727773406,0.018194335169158145,1.2637686860739574,82.068217,0500000US01003
23,"Cullman County, Alabama",81703.0,79124.0,1272.0,1018.0,528.0,33.0,849.0,96.8434451611324,1.5568583772933675,1.245976279940761,0.6462431000085677,0.04039019375053548,1.0391295301274126,78.934407,0500000US01043
24,"Elmore County, Alabama",80989.0,62017.0,17790.0,759.0,838.0,83.0,833.0,76.57459655014878,21.96594599266567,0.9371643062638136,1.0347084171924583,0.10248305325414563,1.028534739285582,86.145735,0500000US01051
25,"Houston County, Alabama",104108.0,74061.0,28934.0,1181.0,1278.0,60.0,806.0,71.13862527375417,27.792292619203135,1.1343988934567948,1.2275713681945672,0.0576324586006839,0.7741960272025205,75.857788,0500000US01069
26,"Jackson County, Alabama",52326.0,49107.0,2046.0,1663.0,304.0,77.0,648.0,93.84818254787295,3.9101020525169132,3.1781523525589574,0.5809731299927379,0.147154378320529,1.238390092879257,58.92116400000001,0500000US01071
27,"Talladega County, Alabama",80888.0,53297.0,26783.0,749.0,609.0,50.0,824.0,65.8898724161804,33.111215507862724,0.9259717139748789,0.7528928889328454,0.06181386608644051,1.0186925131045397,82.093501,0500000US01121
28,"Tuscaloosa County, Alabama",204424.0,134393.0,64951.0,1275.0,3660.0,182.0,2423.0,65.74228074981411,31.772688138379056,0.6237036747152976,1.7903964309474425,0.08903064219465424,1.1852815716354244,80.076486,0500000US01125
29,"Washington County, Alabama",16746.0,11189.0,4211.0,1384.0,173.0,0.0,8.0,66.81595604920578,25.14630359488833,8.264660217365341,1.0330825271706676,0.0,0.04777260241251642,51.973683,0500000US01129
30,"Clay County, Alabama",13407.0,11276.0,2068.0,155.0,6.0,0.0,33.0,84.10531811740135,15.42477810099202,1.1561124785559782,0.04475274110539271,0.0,0.24614007607965988,55.072463000000006,0500000US01027
31,"Coffee County, Alabama",51073.0,40364.0,9509.0,1325.0,1073.0,34.0,449.0,79.03197384136432,18.61844810369471,2.5943257689973174,2.1009143774597145,0.0665713782233274,0.8791337888904117,59.725398,0500000US01031
32,"Morgan County, Alabama",119157.0,99270.0,15826.0,2020.0,1049.0,55.0,3612.0,83.31025453813037,13.281636832078686,1.6952424112725228,0.8803511333786517,0.04615759040593503,3.031294846295224,76.088643,0500000US01103
33,"Pike County, Alabama",33287.0,19642.0,13144.0,367.0,749.0,21.0,45.0,59.00802114939766,39.486886772613936,1.1025325202030822,2.250127677471686,0.0630876918917295,0.13518791119656323,50.36764700000001,0500000US01109
34,"Chilton County, Alabama",43805.0,37213.0,4720.0,446.0,236.0,0.0,2019.0,84.95148955598675,10.775025681999772,1.0181486131720123,0.5387512840999886,0.0,4.609062892363886,59.402984,0500000US01021
35,"Colbert County, Alabama",54435.0,44342.0,9277.0,753.0,432.0,25.0,826.0,81.45862037292183,17.04234408009553,1.3833011848994212,0.793607054284927,0.04592633416000735,1.5174060806466427,56.603777,0500000US01033
36,"Coosa County, Alabama",10955.0,7306.0,3776.0,14.0,0.0,0.0,0.0,66.69100867183934,34.46827932450935,0.12779552715654952,0.0,0.0,0.0,48.837209,0500000US01037
37,"Dale County, Alabama",49393.0,37740.0,10647.0,877.0,1167.0,78.0,936.0,76.40758811977406,21.55568602838459,1.7755552406211406,2.3626829712712327,0.15791711376105927,1.895005365132711,56.25,0500000US01045
38,"Hale County, Alabama",14995.0,5966.0,8802.0,25.0,26.0,0.0,214.0,39.78659553184395,58.69956652217406,0.16672224074691563,0.17339113037679227,0.0,1.427142380793598,51.948053,0500000US01065
39,"Etowah County, Alabama",103132.0,84833.0,16787.0,1333.0,929.0,89.0,749.0,82.25671954388551,16.277198153822287,1.2925183260287787,0.9007873404956754,0.08629717255555987,0.7262537330799363,77.752084,0500000US01055
40,"DeKalb County, Alabama",71194.0,63145.0,1415.0,1912.0,310.0,650.0,5570.0,88.69427198921258,1.987527038795404,2.6856195746832596,0.435429951962244,0.9129982863724471,7.823693007837739,72.014296,0500000US01049
41,"Escambia County, Alabama",37621.0,23574.0,12328.0,1599.0,175.0,59.0,410.0,62.66181122245554,32.76893224528854,4.250285744663884,0.465165731905053,0.15682730389941787,1.0898168576061242,59.133124,0500000US01053
42,"Lamar County, Alabama",14021.0,12347.0,1583.0,65.0,0.0,0.0,109.0,88.06076599386634,11.29020754582412,0.4635903287925255,0.0,0.0,0.7774053205905428,53.793103,0500000US01075
43,"Randolph County, Alabama",22530.0,17741.0,4821.0,116.0,52.0,54.0,180.0,78.74389702618731,21.398135818908123,0.5148690634709276,0.23080337328007103,0.2396804260985353,0.7989347536617842,52.525252,0500000US01111
44,"Butler County, Alabama",20126.0,10813.0,9218.0,133.0,246.0,0.0,14.0,53.726522905694125,45.80145085958462,0.6608367286097585,1.2222995130676737,0.0,0.06956176090629038,59.183675,0500000US01013
45,"Mobile County, Alabama",414328.0,252172.0,150095.0,6386.0,9354.0,187.0,4324.0,60.86289123592902,36.226130022590795,1.5412909578884362,2.2576316348400303,0.04513332432275878,1.0436176169604758,76.992083,0500000US01097
46,"Conecuh County, Alabama",12649.0,6625.0,6007.0,183.0,37.0,44.0,2.0,52.37568187208475,47.489920151790656,1.446754684164756,0.2925132421535299,0.34785358526365723,0.01581152660289351,50.0,0500000US01035
47,"Perry County, Alabama",9680.0,2875.0,6735.0,7.0,23.0,0.0,40.0,29.700413223140497,69.57644628099173,0.07231404958677685,0.23760330578512398,0.0,0.4132231404958678,44.303799,0500000US01105
48,"Walker County, Alabama",64927.0,60301.0,4498.0,773.0,342.0,36.0,156.0,92.87507508432547,6.927780430329447,1.1905678685292713,0.5267454217813853,0.05544688650330371,0.24026984151431607,79.55098699999998,0500000US01127
49,"Cleburne County, Alabama",14939.0,14328.0,572.0,78.0,95.0,0.0,79.0,95.91003413883125,3.8289042104558537,0.5221233014257982,0.635919405582703,0.0,0.5288171899056162,57.723576,0500000US01029
50,"Greene County, Alabama",8533.0,1609.0,6984.0,168.0,0.0,0.0,53.0,18.85620532052033,81.84694714637291,1.9688269073010665,0.0,0.0,0.6211180124223602,41.935483000000005,0500000US01063
51,"Barbour County, Alabama",26201.0,12394.0,12660.0,135.0,232.0,0.0,996.0,47.30353803289951,48.318766459295446,0.5152475096370368,0.8854623869317965,0.0,3.801381626655471,47.899159999999995,0500000US01005
52,"Bibb County, Alabama",22580.0,17511.0,5080.0,169.0,0.0,0.0,8.0,77.55093002657219,22.4977856510186,0.7484499557130204,0.0,0.0,0.0354295837023915,60.674155000000006,0500000US01007
53,"Bullock County, Alabama",10478.0,2368.0,7925.0,179.0,73.0,0.0,2.0,22.599732773430045,75.63466310364574,1.7083412865050582,0.6966978430998282,0.0,0.01908761213972132,55.55555800000001,0500000US01011
54,"Calhoun County, Alabama",115527.0,88613.0,25229.0,1422.0,1514.0,64.0,1588.0,76.7032814839821,21.838185013027257,1.2308810927315692,1.3105161563963403,0.05539830515810157,1.3745704467353952,76.64794900000003,0500000US01015
55,"Chambers County, Alabama",33895.0,19867.0,13545.0,172.0,386.0,0.0,259.0,58.6133648030683,39.9616462605104,0.5074494763239416,1.1388110340758224,0.0,0.7641245021389586,57.284766000000005,0500000US01017
56,"Clarke County, Alabama",24625.0,13216.0,11342.0,19.0,127.0,22.0,7.0,53.669035532994926,46.058883248730965,0.07715736040609138,0.515736040609137,0.08934010152284264,0.028426395939086295,64.220184,0500000US01025
57,"Fayette County, Alabama",16657.0,14481.0,2272.0,63.0,93.0,68.0,0.0,86.93642312541274,13.63991114846611,0.37821936723299515,0.5583238278201357,0.4082367773308519,0.0,55.333333999999994,0500000US01057
58,"Montgomery County, Alabama",227120.0,87264.0,132123.0,1456.0,7156.0,193.0,3470.0,38.42197957027122,58.17321239873195,0.6410707995773159,3.150757308911589,0.08497710461430082,1.5278266995420924,84.465063,0500000US01101
59,"Marshall County, Alabama",94738.0,89361.0,2759.0,1417.0,741.0,61.0,2166.0,94.3243471468682,2.9122421837066437,1.4957039413962718,0.7821571069686926,0.06438810192319872,2.286305389600794,83.51264000000002,0500000US01095
60,"Blount County, Alabama",57667.0,56001.0,1201.0,709.0,286.0,53.0,466.0,97.11099935838521,2.082646921116063,1.229472662007734,0.4959508904572806,0.09190698319662892,0.8080878145213033,58.669353,0500000US01009
61,"Henry County, Alabama",17110.0,12284.0,4819.0,77.0,36.0,25.0,48.0,71.79427235534774,28.164815897136176,0.4500292226767972,0.2104032729398013,0.14611338398597312,0.2805376972530684,62.68656299999999,0500000US01067
62,"Madison County, Alabama",353213.0,250582.0,90285.0,6298.0,11977.0,835.0,4575.0,70.94359494129604,25.56106372075773,1.7830600798951342,3.3908717969044173,0.236401264959104,1.295252439745989,89.404434,0500000US01089
63,"Autauga County, Alabama",55036.0,43036.0,10777.0,458.0,824.0,123.0,738.0,78.19608983210989,19.581728323279307,0.8321825714078058,1.497201831528454,0.2234900792208736,1.3409404753252416,61.81818199999999,0500000US01001
64,"Tallapoosa County, Alabama",40756.0,28773.0,11335.0,290.0,262.0,0.0,451.0,70.5981941309255,27.811855923054274,0.7115516733732457,0.6428501324958288,0.0,1.1065855334183923,56.68934,0500000US01123
65,"Geneva County, Alabama",26572.0,23573.0,2736.0,430.0,137.0,0.0,274.0,88.71368357669728,10.296552762306186,1.6182447689297004,0.515580310100858,0.0,1.031160620201716,58.64979,0500000US01061
66,"Wilcox County, Alabama",10919.0,2987.0,7904.0,26.0,0.0,0.0,52.0,27.355984980309554,72.38758128033703,0.23811704368531916,0.0,0.0,0.4762340873706383,54.455447,0500000US01131
67,"Kodiak Island Borough, Alaska",13773.0,8097.0,79.0,2581.0,3254.0,193.0,634.0,58.78893487257678,0.5735860015973281,18.73956291294562,23.625934799970956,1.4012923836491686,4.6032091773760255,43.181819,0500000US02150
