"County, State",GEO ID,FSRR2010,State,County
"Autauga County, Alabama",0500000US01001,68.6,01,001
"Baldwin County, Alabama",0500000US01003,59.4,01,003
"Barbour County, Alabama",0500000US01005,55.2,01,005
"Bibb County, Alabama",0500000US01007,54.8,01,007
"Blount County, Alabama",0500000US01009,66.3,01,009
"Bullock County, Alabama",0500000US01011,34,01,011
"Butler County, Alabama",0500000US01013,49.3,01,013
"Calhoun County, Alabama",0500000US01015,65.1,01,015
"Chambers County, Alabama",0500000US01017,59.2,01,017
"Cherokee County, Alabama",0500000US01019,49.9,01,019
"Chilton County, Alabama",0500000US01021,59.9,01,021
"Choctaw County, Alabama",0500000US01023,52.3,01,023
"Clarke County, Alabama",0500000US01025,54.7,01,025
"Clay County, Alabama",0500000US01027,55.6,01,027
"Cleburne County, Alabama",0500000US01029,57.1,01,029
"Coffee County, Alabama",0500000US01031,60.7,01,031
"Colbert County, Alabama",0500000US01033,65.1,01,033
"Conecuh County, Alabama",0500000US01035,47.1,01,035
"Coosa County, Alabama",0500000US01037,45.8,01,037
"Covington County, Alabama",0500000US01039,55.1,01,039
"Crenshaw County, Alabama",0500000US01041,53.2,01,041
"Cullman County, Alabama",0500000US01043,62.4,01,043
"Dale County, Alabama",0500000US01045,57.4,01,045
"Dallas County, Alabama",0500000US01047,56,01,047
"DeKalb County, Alabama",0500000US01049,56.4,01,049
"Elmore County, Alabama",0500000US01051,65.7,01,051
"Escambia County, Alabama",0500000US01053,55.4,01,053
"Etowah County, Alabama",0500000US01055,66.7,01,055
"Fayette County, Alabama",0500000US01057,62.4,01,057
"Franklin County, Alabama",0500000US01059,60.5,01,059
"Geneva County, Alabama",0500000US01061,56.2,01,061
"Greene County, Alabama",0500000US01063,40.9,01,063
"Hale County, Alabama",0500000US01065,52.4,01,065
"Henry County, Alabama",0500000US01067,54,01,067
"Houston County, Alabama",0500000US01069,64.5,01,069
"Jackson County, Alabama",0500000US01071,63.1,01,071
"Jefferson County, Alabama",0500000US01073,64.8,01,073
"Lamar County, Alabama",0500000US01075,55.7,01,075
"Lauderdale County, Alabama",0500000US01077,65.3,01,077
"Lawrence County, Alabama",0500000US01079,64,01,079
"Lee County, Alabama",0500000US01081,62.4,01,081
"Limestone County, Alabama",0500000US01083,67.8,01,083
"Lowndes County, Alabama",0500000US01085,43.4,01,085
"Macon County, Alabama",0500000US01087,51.6,01,087
"Madison County, Alabama",0500000US01089,69.9,01,089
"Marengo County, Alabama",0500000US01091,53.8,01,091
"Marion County, Alabama",0500000US01093,59.8,01,093
"Marshall County, Alabama",0500000US01095,64.4,01,095
"Mobile County, Alabama",0500000US01097,63,01,097
"Monroe County, Alabama",0500000US01099,46.5,01,099
"Montgomery County, Alabama",0500000US01101,63.5,01,101
"Morgan County, Alabama",0500000US01103,67.5,01,103
"Perry County, Alabama",0500000US01105,40.5,01,105
"Pickens County, Alabama",0500000US01107,53.2,01,107
"Pike County, Alabama",0500000US01109,53.7,01,109
"Randolph County, Alabama",0500000US01111,54.8,01,111
"Russell County, Alabama",0500000US01113,59.4,01,113
"St. Clair County, Alabama",0500000US01115,62.9,01,115
"Shelby County, Alabama",0500000US01117,70.9,01,117
"Sumter County, Alabama",0500000US01119,44.3,01,119
"Talladega County, Alabama",0500000US01121,61,01,121
"Tallapoosa County, Alabama",0500000US01123,58.9,01,123
"Tuscaloosa County, Alabama",0500000US01125,65,01,125
"Walker County, Alabama",0500000US01127,59,01,127
"Washington County, Alabama",0500000US01129,52.1,01,129
"Wilcox County, Alabama",0500000US01131,44.4,01,131
"Winston County, Alabama",0500000US01133,51.7,01,133
"Aleutians East Borough, Alaska",0500000US02013,46.3,02,013
"Aleutians West Census Area, Alaska",0500000US02016,47.8,02,016
"Anchorage Municipality, Alaska",0500000US02020,67.4,02,020
"Bethel Census Area, Alaska",0500000US02050,49,02,050
"Chugach Census Area, Alaska",0500000US02063,61.3,02,063
"Denali Borough, Alaska",0500000US02068,36.4,02,068
"Dillingham Census Area, Alaska",0500000US02070,50.2,02,070
"Fairbanks North Star Borough, Alaska",0500000US02090,48.3,02,090
"Haines Borough, Alaska",0500000US02100,45.3,02,100
"Hoonah-Angoon Census Area, Alaska",0500000US02105,38.7,02,105
"Juneau City and Borough, Alaska",0500000US02110,59.4,02,110
"Kenai Peninsula Borough, Alaska",0500000US02122,43.2,02,122
