,"County, State",GEO ID,FSRR2010,State,County,Name,Broadband (%)
0,"Baldwin County, Alabama",0500000US01003,59.4,01,003,"Baldwin County, Alabama",0.73008549
1,"Calhoun County, Alabama",0500000US01015,65.1,01,015,"Calhoun County, Alabama",0.77849883
2,"Jefferson County, Alabama",0500000US01073,64.8,01,073,"Jefferson County, Alabama",0.69696546
3,"Madison County, Alabama",0500000US01089,69.9,01,089,"Madison County, Alabama",0.69466758
4,"Mobile County, Alabama",0500000US01097,63,01,097,"Mobile County, Alabama",0.7331745
5,"Shelby County, Alabama",0500000US01117,70.9,01,117,"Shelby County, Alabama",0.78076816
6,"Tuscaloosa County, Alabama",0500000US01125,65,01,125,"Tuscaloosa County, Alabama",0.58492005
7,"Anchorage Municipality, Alaska",0500000US02020,67.4,02,020,"Anchorage Municipality, Alaska",0.70706725
8,"Cochise County, Arizona",0500000US04003,58.2,04,003,"Cochise County, Arizona",0.6585411999999999
9,"Maricopa County, Arizona",0500000US04013,63.8,04,013,"Maricopa County, Arizona",0.81609982
10,"Mohave County, Arizona",0500000US04015,56,04,015,"Mohave County, Arizona",0.69523215
11,"Pima County, Arizona",0500000US04019,65.9,04,019,"Pima County, Arizona",0.70543915
12,"Pinal County, Arizona",0500000US04021,53.7,04,021,"Pinal County, Arizona",0.73649687
13,"Yavapai County, Arizona",0500000US04025,58.6,04,025,"Yavapai County, Arizona",0.78265947
14,"Yuma County, Arizona",0500000US04027,50.7,04,027,"Yuma County, Arizona",0.53430754
15,"Pulaski County, Arkansas",0500000US05119,65,05,119,"Pulaski County, Arkansas",0.64473951
16,"Alameda County, California",0500000US06001,70.2,06,001,"Alameda County, California",0.81009215
17,"Butte County, California",0500000US06007,65.6,06,007,"Butte County, California",0.74683177
18,"Contra Costa County, California",0500000US06013,72.1,06,013,"Contra Costa County, California",0.72380584
19,"El Dorado County, California",0500000US06017,58.8,06,017,"El Dorado County, California",0.68162346
20,"Fresno County, California",0500000US06019,66.8,06,019,"Fresno County, California",0.67452204
21,"Imperial County, California",0500000US06025,58.5,06,025,"Imperial County, California",0.44350705
22,"Kern County, California",0500000US06029,65.2,06,029,"Kern County, California",0.54993844
23,"Los Angeles County, California",0500000US06037,69,06,037,"Los Angeles County, California",0.73929989
24,"Madera County, California",0500000US06039,67.8,06,039,"Madera County, California",0.57072115
25,"Marin County, California",0500000US06041,72.1,06,041,"Marin County, California",0.71580333
26,"Merced County, California",0500000US06047,63.8,06,047,"Merced County, California",0.68589032
27,"Monterey County, California",0500000US06053,64.4,06,053,"Monterey County, California",0.5670206
28,"Napa County, California",0500000US06055,68.1,06,055,"Napa County, California",0.77424461
29,"Orange County, California",0500000US06059,71.7,06,059,"Orange County, California",0.83909291
30,"Placer County, California",0500000US06061,67.5,06,061,"Placer County, California",0.85699391
31,"Riverside County, California",0500000US06065,63.5,06,065,"Riverside County, California",0.77007961
32,"Sacramento County, California",0500000US06067,70.1,06,067,"Sacramento County, California",0.76926136
33,"San Bernardino County, California",0500000US06071,65.4,06,071,"San Bernardino County, California",0.72533423
34,"San Diego County, California",0500000US06073,68,06,073,"San Diego County, California",0.79766399
35,"San Francisco County, California",0500000US06075,68.5,06,075,"San Francisco County, California",0.74965155
36,"San Joaquin County, California",0500000US06077,66.5,06,077,"San Joaquin County, California",0.6864289000000001
37,"San Luis Obispo County, California",0500000US06079,66.3,06,079,"San Luis Obispo County, California",0.78981441
38,"San Mateo County, California",0500000US06081,73.2,06,081,"San Mateo County, California",0.79637676
39,"Santa Barbara County, California",0500000US06083,68.5,06,083,"Santa Barbara County, California",0.72351968
